title,time,price,company,trip1,total1,lzList1,trip2,total2,lzList2
长沙113路公交车路线,长沙火车站06:30-21:00 |九二一医院06:30-21:00,空调车2元,湖南巴士公共交通有限公司一公司,长沙火车站(南坪)—163医院,共17站,长沙火车站(南坪)->五一大道长岛路口->袁家岭地铁站->乔庄->迎宾路八一路口->烈士公园南门->省博物馆->烈士公园北门->长沙市一中开福中学->德雅村->丝茅冲西->丝茅冲->浏阳河路口->黑石渡->四方坪->开福区教师村->九二一医院,163医院—长沙火车站(南坪),共18站,九二一医院->德雅路口->三一大道口->丝茅冲地铁站->丝茅冲西->德雅村->长沙市一中开福中学->烈士公园北门->省博物馆->烈士公园西门->烈士公园南门->迎宾路八一路口->乔庄->袁家岭地铁站->曙光北路->合峰电脑城->解放东路朝阳路口->长沙火车站(南坪)
长沙114路公交车路线,长沙火车站06:20-21:00 |黄花集镇06:20-21:00黄花机场06:20-18:30 ,空调车2元,湖南巴士公共交通有限公司一公司,长沙火车站(南坪)—黄花机场,共43站,长沙火车站(南坪)->五里牌->火星镇->马王堆(长沙银行东城支行)->陶家山->远大路古曲路口->东屯渡桥西->东屯渡桥东->汽车东站->东大门->张公岭->张公岭东->远大路望龙路口->马坡岭->马坡岭东->农科院北门->司法警官学校->泉塘->泉塘市场->砖厂->市看守所->长沙县一中(北)->远大路黄兴大道口->警校(螺丝塘)->东九路口(丁家村)->丁家岭->丁家粮库->紫华郡小区->观山村->黄花税务分局->黄花新街->长沙县六中->黄花集镇->黄花老街->空港国际星城(小塘安置区)->黄垅->黄花工业园->机场口->青牛培训基地->湖南空中交通管理分局->机场大道人民路口->机场大道大元路口->黄花机场,黄花机场—长沙火车站(南坪),共48站,黄花机场->机场大道大元路口->机场大道人民路口->湖南空中交通管理分局->青牛培训基地->机场口->黄花工业园->黄垅->空港国际星城(小塘安置区)->黄花老街->黄花集镇->长沙县六中->黄花新街->黄花税务分局->观山村->紫华郡小区->丁家粮库->丁家岭->东九路口(丁家村)->警校(螺丝塘)->远大路黄兴大道口->长沙县一中(北)->市看守所->砖厂->泉塘市场->泉塘->司法警官学校->农科院北门->远大路星沙大道口->马坡岭东->马坡岭->远大路望龙路口->张公岭东->张公岭->东大门->汽车东站->东屯渡桥东->东屯渡桥西->远大路古曲路口->陶家山->马王堆(长沙银行东城支行)->火星镇->锦泰广场->锦泰广场地铁站->杨家山北->杨家山西(高建市场)->朝阳村地铁站->长沙火车站(南坪)
长沙115路公交车路线,四方坪 夏06:00-23:00 冬06:00-22:30 |汽车南站 夏06:00-23:00 冬06:00-22:30,空调车2元,湖南巴士公共交通有限公司二公司,四方坪—汽车南站过渡站,共45站,四方坪->开福区教师村->胜利村->双拥路东口->雅雀湖->德雅路口->三一大道德汇路口->喻家冲->国防科大->九尾冲->伍家岭南(华创国际广场)->潘家坪->唐家巷(富兴时代)->湘雅路口(盛大金禧金融中心)->经武门(湖南日报)->松桂园->八一桥->芙蓉广场->浏城桥(省建行)->识字岭->小林子冲->侯家塘北->侯家塘南->黄土岭(长沙五洲医院)->黄土岭地铁站(长沙爱尔眼科医院)->涂家冲(省第二人民医院)->麻园塘->浦沅(长沙银行汇融支行)->林大路芙蓉路口->林大路青园路口->林大路陶铸路口->林大路木莲路口->林大路友谊路口->市委党校西门->青园小学->湖南人才市场(万芙路)->万芙路湘府路口->高家冲->万芙路杉木冲路口->万芙路桂花坪路口->万芙路时代阳光大道口->时代阳光大道万芙路口->时代阳光大道高升路口->时代阳光大道韶山路口->汽车南站,汽车南站过渡站—四方坪,共42站,汽车南站->时代阳光大道韶山路口->时代阳光大道高升路口->时代阳光大道万芙路口->万芙路时代阳光大道口->万芙路桂花坪路口->万芙路杉木冲路口->高家冲->万芙路湘府路口->湖南人才市场(万芙路)->青园小学->市委党校西门->林大路友谊路口->林大路木莲路口->林大路陶铸路口->林大路青园路口->林大路芙蓉路口->莲花山->浦沅(长沙银行汇融支行)->麻园塘->涂家冲(省第二人民医院)->黄土岭地铁站(长沙爱尔眼科医院)->黄土岭(长沙五洲医院)->侯家塘南->侯家塘北->小林子冲->识字岭->浏城桥(省建行)->芙蓉广场->八一桥->松桂园->经武门(湖南日报)->湘雅路口(盛大金禧金融中心)->唐家巷(富兴时代)->潘家坪->伍家岭南(华创国际广场)->九尾冲->国防科大->喻家冲->三一大道德汇路口->德雅路口->四方坪
长沙116路公交车路线,新联路友谊路口06:30-21:00 |秀峰公园(山语城)06:30-21:00,空调车2元,湖南龙骧巴士有限责任公司,新联路—秀峰公园(山语城),共44站,新联路友谊路口->友谊西路书香路口->石人村->友谊路新姚路口->友谊路银杏路口->友谊路芙蓉路口->青园->林大路木莲路口->木莲路林大路口->木莲路韶山路口->井坡子->林科大->潇湘晨报->长沙市中心医院->铁道学院->桔园立交桥北->雨花亭北(百杏堂名医馆)->砂子塘->东塘南(省中医附一院)->东塘西->雅礼中学->侯家塘北->小林子冲->识字岭->浏城桥(省建行)->芙蓉广场->八一桥->松桂园->经武门(湖南日报)->湘雅路口(盛大金禧金融中心)->唐家巷(富兴时代)->潘家坪->伍家岭南(华创国际广场)->伍家岭北->陈家湖->新码头->马厂(长沙银行开福支行)->开福区政府->汽车北站->金霞苑->芙蓉路捞刀河大桥南(开福花卉宠物市场)->车辆检测站->兴隆村->秀峰公园(山语城),秀峰公园(山语城)—新联路,共45站,秀峰公园(山语城)->兴隆村->车辆检测站->芙蓉路捞刀河大桥南(开福花卉宠物市场)->金霞苑->汽车北站->开福区政府->马厂(长沙银行开福支行)->新码头->陈家湖->伍家岭北->伍家岭南(华创国际广场)->潘家坪->唐家巷(富兴时代)->湘雅路口(盛大金禧金融中心)->经武门(湖南日报)->松桂园->八一桥->芙蓉广场->浏城桥(省建行)->识字岭->小林子冲->侯家塘北->雅礼中学->东塘西->东塘南(省中医附一院)->砂子塘->雨花亭北(百杏堂名医馆)->桔园立交桥北->铁道学院->长沙市中心医院->潇湘晨报->林科大->井坡子->井湾子北->友谊路韶山路口->友谊中路->青园->友谊路芙蓉路口->友谊路银杏路口->友谊路新姚路口->石人村->书香路新韶西路口->罗家冲北->新联路友谊路口
长沙117路公交车路线,长沙火车站06:00-23:30 |石岭塘06:00-23:30,空调车2元,湖南巴士公共交通有限公司一公司,长沙火车站(北坪)—石岭塘,共16站,长沙火车站(北坪)->五一大道长岛路口->袁家岭地铁站->乔庄->韭菜园->芙蓉广场地铁站(中公教育)->五一广场(恒企会计培训)->银盆南路白沙液街口->望月湖->望月湖小区->四水厂->六沟垅地铁站->银盆岭->安居乐家居广场->观沙岭->石岭塘,石岭塘—长沙火车站(北坪),共18站,石岭塘->观沙岭->安居乐家居广场->银盆岭->六沟垅地铁站->六沟垅->四水厂->望月湖小区->潇湘大道溁湾路口->橘子洲大桥西->新民学会旧址->五一广场(恒企会计培训)->芙蓉广场地铁站(中公教育)->韭菜园->乔庄->袁家岭地铁站->五一大道长岛路口->长沙火车站(北坪)
长沙118路公交车路线,长沙火车站06:00-22:30 |麓谷城铁站06:00-22:30,空调车2元,湖南巴士公共交通有限公司一公司,长沙火车站(南坪)—金南家园北,共39站,长沙火车站(南坪)->五一大道长岛路口->袁家岭地铁站->乔庄->韭菜园->芙蓉广场地铁站(中公教育)->五一广场(恒企会计培训)->银盆南路白沙液街口->望月湖->望月湖小区->四水厂->六沟垅->桐梓坡->湘雅三医院->湘雅医学院->省肿瘤医院->白鸽咀->咸嘉新村->咸嘉花园->湖南工商大学->麓天路玉兰路口->博才实验中学->湖南师大二附中->麓枫路麓天路口->高新区管委会->麓谷街道办事处->保利体育公园->保利麓谷林语东->保利麓谷林语西->麓松路桐梓坡路口->麓松路林语路口->旺龙路岳麓大道口->欣盛路旺龙路口->欣盛路延农路口->延农路青山路口->青山路东方红路口(清控尖山湖)->东方红路青山路口->东方红路景阳路口->麓谷城铁站,金南家园北—长沙火车站(南坪),共40站,麓谷城铁站->东方红路景阳路口->东方红路青山路口->青山路东方红路口(清控尖山湖)->延农路青山路口->欣盛路延农路口->欣盛路旺龙路口->旺龙路岳麓大道口->麓松路林语路口->保利麓谷林语西->保利麓谷林语东->保利体育公园->麓谷街道办事处->高新区管委会->麓枫路麓天路口->湖南师大二附中->博才实验中学->麓天路玉兰路口->湖南工商大学->咸嘉花园->咸嘉新村->白鸽咀->省肿瘤医院->湘雅医学院->湘雅三医院->桐梓坡->六沟垅->四水厂->望月湖小区->潇湘大道溁湾路口->橘子洲大桥西->爱民路->五一广场(恒企会计培训)->芙蓉广场地铁站(中公教育)->韭菜园->乔庄->袁家岭地铁站->五一大道长岛路口->解放东路朝阳路口->长沙火车站(南坪)
长沙120路公交车路线,赤岗冲(多功能坪)--振华路公交首末站夏06:00-20:30 冬06:30-20:00,空调车2元,湖南龙骧巴士有限责任公司,赤岗冲(多功能坪)—振华路公交首末站,共39站,赤岗冲公交首末站->东塘东->东塘南(省中医附一院)->砂子塘->雨花亭北(百杏堂名医馆)->桔园立交桥北->铁道学院->长沙市中心医院->潇湘晨报->林科大->井坡子->井湾子北->井湾子南(长沙九龙医院)->中建五局(舒适口腔)->红星村南->高升村南->省植物园->洞井铺->时代阳光大道中意路口->龙骧技校->全洲药业->省质监局->坪坝塘->毛竹塘地铁站->狮子山公园东门->桃阳村->万家丽路黄谷路口->环保科技园->万家丽路新兴路口->万家丽路振华路口->振华路正大路口->兴安路振华路口->兴安路环保大道路口->环保大道圭白路口->圭白路环保大道口->白田小区->圭白路职教城->振华路圭白路口->振华路公交首末站,振华路公交首末站—赤岗冲(多功能坪),共38站,振华路公交首末站->圭白路职教城->白田小区->圭白路环保大道口->环保大道圭白路口->兴安路环保大道路口->振华路兴安路口->振华路正大路口->万家丽路振华路口->万家丽路新兴路口->环保科技园->万家丽路黄谷路口->桃阳村->狮子山公园东门->坪坝塘->省质监局->全洲药业->龙骧技校->时代阳光大道中意路口->洞井铺->省植物园->高升村南->高升村北->红星村南->中建五局(舒适口腔)->井湾子南(长沙九龙医院)->井湾子北->井坡子->林科大->潇湘晨报->长沙市中心医院->铁道学院->桔园立交桥北->雨花亭北(百杏堂名医馆)->砂子塘->东塘南(省中医附一院)->东塘东->赤岗冲公交首末站
长沙121路公交车路线,长沙火车站06:00-21:00 |泰禹家园06:00-21:00,空调车2元,湖南巴士公共交通有限公司一公司,长沙火车站(南坪)—泰禹家园,共25站,长沙火车站(南坪)->五一东村->解放东路车站路口->朝阳村地铁站->杨家山西(高建市场)->杨家山南->长沙海关->高桥大市场西->高桥大市场南->友谊村(居然之家高桥店)->大桥西->古曲路长沙大道口->广益中学->市儿童活动中心->沙湾公园->体育新城->下白沙湾->上白沙湾->体院巷->沙湾路香樟路口->中南院(谷医堂中医馆)->中南院学校->木莲路沙湾路口->香月路木莲路口->泰禹家园,泰禹家园—长沙火车站(南坪),共22站,泰禹家园->香月路木莲路口->中南院学校->中南院(谷医堂中医馆)->沙湾路香樟路口->体院巷->上白沙湾->下白沙湾->体育新城->沙湾公园->市儿童活动中心->广益中学->古曲路长沙大道口->大桥东->友谊村(居然之家高桥店)->高桥大市场南->高桥大市场西->长沙海关->杨家山南->杨家山西(高建市场)->朝阳村地铁站->长沙火车站(南坪)
长沙122路公交车路线,南郊公园06:30-21:30 |月湖公园06:30-21:30,空调车2元,湖南龙骧巴士有限责任公司,南郊公园—月湖公园,共35站,南郊公园->猴子石路口->广厦新村(湖南尚美妇幼医院)->公用客车厂->赤岭路街道->殷家冲北->玉泉寺(三真康复书院路院区)->天心一中->碧沙湖->杏花园->大椿桥->第一师范->书院路->碧湘街->长郡中学->长沙简牍博物馆->天心阁->识字岭(千思装饰)->地质中学->窑岭东->人民路曙光路口->人民路立交桥西->杨家山西(高建市场)->德政园东(华领体检)->芙蓉区政府地铁站->万家丽广场->万家丽路远大路口->马王堆汽配大市场->省人民医院马王堆院区->省干休所->火炬村->省血液中心->朝阳村(临时站)->朝阳村->月湖公园,月湖公园—南郊公园,共36站,月湖公园->马栏山->朝阳村->省血液中心->火炬村->省干休所->省人民医院马王堆院区->马王堆汽配大市场->万家丽路远大路口->万家丽广场->芙蓉区政府地铁站->芙蓉区政府->德政园东(华领体检)->杨家山西(高建市场)->人民路立交桥西(副站)->人民路曙光路口->窑岭东->地质中学->识字岭(千思装饰)->天心阁->长沙简牍博物馆->长郡中学->碧湘街->书院路->第一师范->大椿桥->杏花园->碧沙湖->天心一中->玉泉寺(三真康复书院路院区)->殷家冲北->赤岭路街道->公用客车厂->广厦新村(湖南尚美妇幼医院)->猴子石路口->南郊公园
长沙123路公交车路线,汽车南站06:00-21:45 |营盘路西06:00-21:45,空调车2元,湖南龙骧巴士有限责任公司,汽车南站过渡站—营盘路西,共36站,汽车南站->汽车南站综合交通枢纽->洞井铺->省植物园->高升村南->高升村北->红星村南->中建五局(舒适口腔)->井湾子南(长沙九龙医院)->井湾子北->井坡子->林科大->潇湘晨报->长沙市中心医院->铁道学院->桔园立交桥北->雨花亭西->七里庙(市二十一中)->新建西路口->麻园塘->涂家冲(省第二人民医院)->黄土岭地铁站(长沙爱尔眼科医院)->黄土岭(长沙五洲医院)->侯家塘南->侯家塘(劳动路)->侯家塘地铁站->仰天湖(长沙市三医院)->劳动路白沙路口->沙河街->南门口->长郡中学->西湖桥->坡子街(北京银行)->长沙轮渡->潮宗街->营盘路西,营盘路西—汽车南站过渡站,共35站,营盘路西->培元桥->先锋厅->长沙轮渡->橘子洲大桥东->坡子街(北京银行)->西湖桥->长郡中学->南门口->沙河街->劳动路白沙路口->仰天湖(长沙市三医院)->侯家塘地铁站->侯家塘(劳动路)->侯家塘->侯家塘南->黄土岭(长沙五洲医院)->黄土岭地铁站(长沙爱尔眼科医院)->涂家冲(省第二人民医院)->新建西路口->七里庙(市二十一中)->桔园立交桥北->铁道学院->长沙市中心医院->潇湘晨报->林科大->井坡子->井湾子北->井湾子南(长沙九龙医院)->中建五局(舒适口腔)->红星村南->高升村南->省植物园->洞井铺->汽车南站
