age,country,director,film_length,img,language,score,screenwriter,summary,title,to_star,type
2020-02-28,挪威 / 美国 / 英国,安德烈·艾弗道夫,104,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2602870532.jpg,挪威语 / 英语,5.5,安德烈·艾弗道夫/Norman Lesperance/Geoff Bussetil,故事讲述一位挪威裔神秘男子，让碰到自己的少年突然自燃，并被控谋杀罪名。在接受审问之前，一位心理医师惊人发现，他竟然拥有无法控制的超自然能力，而这股力量可能来自于北欧神话，于是她决定帮助这位神秘男子逃狱，一同踏上寻找真相的旅途。,超能追缉 Mortal,纳特·沃尔夫/Priyanka Bose/Iben Akerlie,动作/奇幻/冒险
2020-01-31,英国,瑞德·穆拉诺,109,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2569141647.jpg,英语,5.0,马克·伯内尔,根据MarkBurnell所著“StephaniePatrick”系列小说四部曲的首部改编，女主Stephanie的生活在家人遭遇空难后分崩离析，她开始沉溺于酒精、毒品、卖淫之中。当她发现空难其实是一场谋杀案后，决定脱离苦海探索事情真相。这不是一本惊悚复仇小说，虽然女主角要踏上这一道路。这是一个关于自我救赎的故事，她必须要从过去扮演的多个角色里清醒过来，认清自己到底是谁。作为妓女，她名叫Lisa，金发惹火；随后从一名无政府主义变成恐怖分子的雇佣兵，化名PetraReuter；偶尔作为瑞士女商人MarinaGaudenzi或美国学生SusanBranch，亦或是英国业务顾问ElizabethShepherd。无论是谁，她都不是自己，因为她的生活基于她扮演的角色，这是她服务的秘密机构所履行的准则。而当她爱上FrankWhite后，身份危机逐...,节奏组 The Rhythm Section,布蕾克·莱弗利/裘德·洛/斯特林·K·布朗,动作/悬疑/惊悚
2020-01-25,中国大陆,代艺霖,102,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2585229352.jpg,汉语普通话,5.9,元春,孙悟空大闹天宫被压五指山后，天蓬元帅领命下界击杀孙悟空以绝后患。在人间的天蓬巧遇捉妖师宝儿与她的捉妖团，几人一行上路寻找五指山，过程一波三折，天蓬大起大落，历尽劫难后悟得大爱，终成长为大天蓬。,大天蓬,应昊茗/王艺哲/连凯,剧情/爱情/古装
片长:,美国,大卫·道金,IMDb链,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2608079562.jpg,英语,6.7,威尔·法瑞尔/安德鲁·斯蒂尔,雄心壮志的冰岛音乐人拉斯和席格芮得到千载难逢的机会，代表国家参加全球最盛大的歌唱比赛。他们终于有机会证明：值得做的梦，就值得勇敢去追。,欧洲歌唱大赛：火焰传说 Eurovision Song Contest: The Story of Fire Saga,威尔·法瑞尔/瑞秋·麦克亚当斯/丹·史蒂文斯,喜剧/音乐
上映日期:,日本,朝仓加叶子,片,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570984810.jpg,日语,6.0,高桥泉,杉野遥亮饰演因大学考试失败宅在家中的黑须越郎，他企图上吊自杀没能成功，墙壁开了个洞，他可以看到福原遥饰演的美丽邻居宫市的生活，逐渐喜欢上她，然而某天他竟然看到对方杀人的一幕，偷窥一事也曝光了，黑须告白了心中的爱，于是两人开始交往。,羊与狼的恋爱和杀人 羊とオオカミの恋と殺人,杉野遥亮/福原遥/江野泽爱美,剧情/悬疑/恐怖
2020-02-26,巴西,丹尼尔·诺拉斯科,110,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587015967.jpg,葡萄牙语,6.5,丹尼尔·诺拉斯科,在工作，游泳和匿名性之间，桑德罗在巴西戈亚斯（Goiás）炎热而干旱的地区过着单调的生活。当看起来像芬兰汤姆漫画的麦孔（Maicon）出现在他的小镇时，他的生活发生了转变。,干燥的风 Vento Seco,Leandro Faria Lelo/Allan Jacinto Santana/Renata Carvalho,剧情/情色/同性
上映日期:,日本,木村尚,片,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570964511.jpg,日语,5.6,莳田光治/今村昌弘 Masahiro Imamura,没有事件可解，便无法称之侦探──号称「福尔摩斯」的大学生侦探明智恭介（中村伦也饰），不顾助手叶村让（神木隆之介饰）劝阻，缠上电影研究社社长，因为社内怪事连连：社员自杀、短片出现恐怖人脸、即将举办的合宿收到恐吓字条，令许多社员心生退意。然而，别人的麻烦正是侦探的乐趣，明智死缠烂打想参加合宿却无法说服社长。苦恼时，神祕的美少女侦探剑崎比留子（滨边美波饰）现身解围，以「不问她目的」和「她一同参加」为条件，让明智与叶村混进其中。,尸人庄杀人事件 屍人荘の殺人,神木隆之介/滨边美波/中村伦也,剧情/悬疑/惊悚
片长:,中国大陆,钟沐龙,又,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597062109.jpg,汉语普通话,6.4,樊俊航/KIYO/刘北辰/夏磊/张杰/吴磊/孟祥龙/孙晔,改编自动漫IP《西行纪》，天界公主素衣在凡间与孙悟空结识，情投意合。但悟空却被其他天神当成凡间妖物暴力对待，镇压在了五指山下。三百年来，如来大神用行动感化悟空，教会悟空如何坚守心中正义。孙悟空保护唐三藏前往彼岸世界取回创世之火以造福世间，历经波折后终于归来，却发现巨大的阴谋浮出水面，师徒几人的命运也就此被改写。,西行纪之再见悟空,樊俊航/KIYO/刘北辰,动作/动画/奇幻
2020-01-31,加拿大 / 爱尔兰 / 美国 / 南非,奥兹·珀金斯,87,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2576929851.jpg,英语,5.4,罗布·海斯,"描述葛丽特与汉赛尔被抛弃在黑森林中，试图找寻食物，却误入女巫预备丰盛佳肴的屋子。

　　故事发生在很久很久以前，在一个遥远的村庄，女孩葛丽特（索菲娅·莉莉丝饰）带着弟弟韩赛尔进入一片幽暗密林，饥寒交迫的两人原本希望可以在这里找到食物和工作，却遇上了令人恐惧的邪恶存在……",格蕾特和韩塞尔 Gretel & Hansel,索菲娅·莉莉丝/艾丽丝·克里奇/杰西卡·德·古维,惊悚/恐怖/奇幻
片长:,英国 / 意大利,詹姆斯·达西,又,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2612140333.jpg,英语,6.6,詹姆斯·达西,一位画家（连姆·尼森LiamNeeson饰），带着他关系疏远的儿子（米切尔·理查德森MicheálRichardson饰），两人从伦敦返回义大利，想出售已故妻子多年前一起生活过的房子。不过这栋房子年久失修，客厅墙壁还有一大片难以理解的彩绘，导致完全没人想买下这栋房子。两人只好试图与当地居民，一同运用手边仅有的工具，开始修缮这栋老旧房屋。同时，这对父子也没想到，当他们放下繁忙生活，来到义大利托斯卡纳乡间，似乎也开始找到属于他们的未来……,意大利制造 Made in Italy,尤兰达·凯罗/米切尔·理查德森/舒雅德·法瑞斯,喜剧
