age,country,director,film_length,img,language,score,screenwriter,summary,title,to_star,type
2020-10-09,美国,吉姆·卡明斯,83,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2620525313.jpg,英语,5.6,吉姆·卡明斯,吉姆·卡明斯自编自导并参与演出的惊悚黑色喜剧[雪谷之狼](TheWolfofSnowHollow，暂译)发布第一批剧照，吉姆扮演正在戒酒的混混警官，他坚信小镇来了连环杀手，但小镇居民却认为那是一个狼人。瑞琪·琳德赫姆扮演他理智的搭档，去年十月过世的罗伯特·福斯特则扮演他的父亲、也是小镇警长，这是福斯特最后一次大银幕演出。本片将于10月9日登陆院线。,雪谷之狼 The Wolf of Snow Hollow,瑞琪·琳德赫姆/吉米·塔特罗/罗伯特·福斯特,喜剧/惊悚/恐怖
片长:,美国,斯派克·李,又,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2604552976.jpg,英语 / 芬兰语,6.1,丹尼·比尔森/保罗·德米奥/凯文·威尔默特/斯派克·李,荣获奥斯卡金像奖的斯派克·李为我们带来了全新作品，这个故事讲述了四个非裔美国退伍军人返回越南的故事。他们前去寻找死去的队长（查德维克·博斯曼饰演）的遗体和埋藏的宝藏。在对抗人与自然的力量的同时，我们的英雄们还要面对越南战争中的残暴行径所带来的持久破坏。,誓血五人组 Da 5 Bloods,德尔罗伊·林多/乔纳森·梅杰斯/克拉克·彼得斯,剧情/战争
2020-02-14,中国大陆,潘礼平,75,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2585715592.jpg,汉语普通话,5.8,王骏/赵月冰/王帅,"天真派《红楼梦之桃花诗社》改编自四大名著之首的《红楼梦》，讲述了金陵十二钗副册和又副册之首香菱、晴雯的人生。香菱的故事，好比林黛玉的前传；晴雯则更似黛玉，历来研究认为“晴为黛影”。故事从桃花诗社展开，藉由宝黛钗，引出了香菱和晴雯“梦幻情缘”，“薄命儿女”的命运。香菱学诗贯穿了她整个人生，梨香院中，夏金桂对她百般刁难，竟被折磨致死。晴雯生性娇俏，让袭人和小丫鬟坠儿心生嫌隙，最终王夫人将重病的晴雯赶出大观园。

　　宝玉魂归太虚幻境孽海情天，与黛玉、晴雯、香菱相见，得知前世本为神瑛侍者，黛玉原是绛珠仙草，为偿还侍者的灌溉之情，用凡间一世眼泪偿还，再生为三生石旁一株仙草。",天真派：红楼梦之桃花诗社,邓琳漾/陈舒宜/段智文,剧情/儿童/古装
2020-01-24,日本,今泉力哉,127,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2574209492.jpg,日语,6.7,浅田淳,"《小小夜曲》日本名導今泉力哉最新BL影集，萬眾期待電影版推出前必修前傳

　　即使這個世界尷尬又沮喪，至少還有純真的愛情故事。17歲的日比野渚就讀高中二年級，他與父母分隔兩地、獨自住在神奈川縣藤澤市的海邊小鎮。渚熱愛衝浪，並在江之島一家旅館的澡堂打工。某天，與渚同年紀的井川迅放春假前往該地遊玩，邂逅的兩人發展出一段友達以上的純純愛戀，但衝浪店老闆的女兒千歌其實早已暗戀渚許久……",他的 His,宫泽冰鱼/藤原季节/松本若菜,剧情/同性
片长:,日本,武正晴,又,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2574742822.jpg,日语,6.4,今井雅子/足立绅,"导演武正晴X编剧足立绅话题电影<嘘八百>将推出续集。

　　故事依然围绕着古物商人和陶器家展开，故事主舞台从堺转到了京都，中井贵一继续搭档佐佐木藏之介，广末凉子参演。

　　2020年新春公映。",谎话连篇2 嘘八百 京町ロワイヤル,中井贵一/佐佐木藏之介/广末凉子,喜剧
片长:,中国大陆,何佳男,又,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2616754749.jpg,汉语普通话,3.2,余诗龙/仇星,北魏年间，新君登基，时局未稳，游牧民族柔然对大魏虎视眈眈。为牵制柔然，公主和亲北凉，不料被柔然猛将绵尔图设计掳走。绵尔图挟持公主提出让大魏交出十座城池的耻辱条约，因接应公主失败而被问责的花木兰临危受命，力排众议启用死囚慕容狄，和手下一众精英将士组成突袭小队，勇闯幽冥域，巧入云中城，营救公主。割城让地的两日之限在即，突袭小队能否救出公主守护大魏，一切都还未知……,花木兰之大漠营救,张冬/谷尚蔚/杜玉明,动作/冒险
369分钟,德国 / 乌克兰 / 英国 / 俄罗斯,伊利亚·赫尔扎诺夫斯基,IMDb链,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2596414052.jpg,俄语 / 英语,6.9,伊利亚·赫尔扎诺夫斯基/伊利亚·佩尔米亚科夫,一家秘密的苏联研究所结合了科学和神秘实验，旨在创造理想的人。该研究涉及所有员工：特权量子物理学家，克格勃官员，厨房员工边缘人员和政治上激进的测试对象。研究所的居民发现自己身处深处的生存危机中，被逼向悲惨和暴力的结局。,列夫·朗道：退变 DAU. Degeneratsia,Vladimir Azhippo/Dmitry Kaledin/Olga Shkabarnya,剧情
片长:,印度,吉图·乔瑟夫,IMDb链,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2576493611.jpg,印地语 / 英语,6.1,奥里奥尔·保罗/拉拉·森迪姆,"改编自2012年西班牙悬疑剧《女尸迷案》。

　　10年前的某夜，两辆汽车发生肇事后，一辆车将另外一辆车撞下悬崖。

　　10年后，霸道有钱的女高管，从美国回来当天心脏病突发死亡，结果当晚尸体在殡仪馆失踪。赶来的刑警，要求女高管丈夫来殡仪馆接受调查。在殡仪馆调查期间，丈夫多次发现女高管的痕迹，认定女高管未死。丈夫终于向刑警老实交代：自己出轨女学生，为了夺取女高管财产，设计了心脏病死亡的假象。此时，刑警开始露出真容，原来当年交通事故中死亡的是刑警的妻子，刑警女儿为了复仇和丈夫搞婚外恋，唆使丈夫杀害女高管。",消失的尸体 The Body,Sobhita Dhulipala/埃朗·哈斯米/里希·卡普尔,悬疑/惊悚
90分钟,中国大陆 / 中国香港,周洲,IMDb链,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2616544817.jpg,汉语普通话,6.2,周洲/池韵,本片是周洲继《美丽》后的第二部作品，同样由池韵主演。主角是患有癫痫的女孩，追逐舞蹈的梦想，她在爱情、亲情和梦想间浮沉，走向绝望的同时又给予她新生。,花这样红,池韵/孟令伟/王美莉,剧情
89分钟,中国大陆,宋方,IMDb链,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2617989097.jpg,汉语普通话,5.7,宋方,林同是一位三十出头的女性，从事纪录片的拍摄工作。与多年相处的男友分手之后，她的情绪陷入低谷。她选择自己默默面对。在内心痛苦的同时，依然保持对世界的感知和观察。随着时间和生活的继续，个人的痛楚渐渐平复。,平静,齐溪/渡边真起子/许一诺,剧情
片长:,美国,蕾琪儿·戈登堡,又,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2617781422.jpg,英语,6.8,詹妮·亨德里克斯/蕾琪儿·戈登堡/比尔·帕克/詹尼弗·凯廷·罗宾逊/泰德·卡普兰,"女孩Veronica(理查森)发现自己怀孕了，她只能和有车的“前”好友Bailey(Ferreira)一起上路，寻求合法堕胎：Veronica的男友很窝囊，她自己也不想这么年轻就当妈妈，不然会影响她的常春藤大学梦。而她所在的美国密苏里州规定未成年人必须有父母同意才能堕胎，她的父母并不同意。Veronica决定旅行900英里，去新墨西哥州堕胎后回家。

　　Veronica是个沉迷于ins、成绩优秀、雄心勃勃的好学生，而Bailey是个孤独、毒舌的酷儿，对Veronica的新朋友们忍耐度为零。这样两个人怀着这样的目标一起上路，途中行差踏错，既有动情之处，又有幽默。",未怀孕 Unpregnant,海莉·露·理查森/芭比·费雷拉/吉安卡罗·埃斯波西托,剧情/喜剧
98分钟,意大利 / 瑞士,达米亚诺·迪诺森佐,IMDb链,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2583131124.jpg,意大利语,6.7,达米亚诺·迪诺森佐/法比欧·迪诺森佐,炎热的夏天，在罗马郊区的一个贫困居民区里，许多家庭无处可去只得住在这里。这里随时都有一种可能爆发什么事的神秘不安感。父母们一直处于沮丧的状态，因为他们不是来自更好的郊区，而他们所希望的中产阶级生活也超出了他们的承受能力，最终他们的孩子却是这场风波的真正主角，风波将整个社区推向崩溃。,烂故事 Favolacce,埃利奥·杰曼诺/汤玛索·迪·柯拉/芭芭拉·奇基亚雷,剧情
2020-09-24,德国,法拉兹·沙里亚特,92,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2586635577.jpg,德语 / 波斯语 / 阿拉伯语,6.6,法拉兹·沙里亚特/Paulina Lorenz/Jan Künemund,影片围绕德籍伊朗人帕尔维斯的生活展开，他所接触的流行文化、成人约会与狂欢，并通过他的难民同胞巴娜菲什与阿蒙，共同探索他的根源。,第三将来时 Futur Drei,本尼·拉德杰鲍尔/巴娜芙茜·霍尔玛兹蒂/埃迪恩·杰拉里,剧情/同性
2019-12-12,中国大陆,西蒙·韦斯特,97,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2576728533.jpg,汉语普通话 / 英语,4.4,卜维/西德尼·金,"天火岛美得如同世外桃源，几乎让人忘记它位于“RingofFire”——全球知名的环太平洋火山带。年轻的地质学家李晓梦为了研发首个火山监测系统“朱雀”，带着团队来到了这里。李晓梦的父亲、隐退多年的火山专家李文涛得知后赶到火山口，力图劝说她离开。与此同时，探险专家正楠在美轮美奂的水下溶洞潜水，准备给女友佳慧一个浪漫的求婚……

　　火山喷发了，这些人的命运纠结在一起。为了看见明天的太阳，他们必须与过去和解，合力为自己也为众生在绝境中寻找一条生路。这是一个关于爱与勇气、选择与放弃、自救与他救的中国式英雄的故事。",天·火,王学圻/昆凌/窦骁,动作/冒险/灾难
片长:,印度,Hitesh Kewalya,又,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2593528124.jpg,印地语,7.4,Hitesh Kewalya,一对同性恋人卡迪克和哈曼回乡参加堂姐的婚礼，浪漫不羁的卡迪克希望男友向家人正式出柜，结果在迎亲列车上两人天雷勾动地火的热吻被老父提前发现，差点引发一场心脏病。老父从此把卡迪克视为眼中钉，想尽办法要棒打鸳鸳，甚至给哈曼安排了包办婚姻。但想结婚似乎也没那么容易——几乎在同一时间，印度最高法院正在就同性恋是否为犯罪进行着一场世纪辩论…,真雄起 Shubh Mangal Zyada Saavdhan,阿尤斯曼·库拉纳/吉滕德拉·库马尔/加杰拉吉·拉奥,喜剧/同性
片长:,中国大陆,丁小洋,又,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2601376569.jpg,汉语普通话,6.8,曹得乐/陈子豪/林男男,私营小老板王唯正在为养生馆的经营焦头烂额时，二十年前阴差阳错加入科考队而失踪多年的父亲王德志突然出现在面前。时隔二十年，父亲竟然容貌未老，记忆错乱，仿佛从另一个时空而来。父亲向王唯讲起当年科考队的故事：一行人驾车进入荒漠进行科学勘察，准备返程时，发现了一艘本该出现在地球另一端的潜水艇。更令人意想不到的是，潜水艇中有一枚来自外星的“双鱼陨石”，任何人一旦触碰将开启平行时空，带来另一个时空的自己，为了活命，只得展开了一场厮杀……,双鱼陨石,丁溪鹤/李凯/郭晓明,奇幻/冒险
片长:,美国,蒂姆·希尔,又,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2617178327.jpg,英语,6.0,汤姆·J·阿瑟尔/马特·恩贝尔/罗伯特·金梅尔·史密斯,影片改编自罗伯特·金梅尔·史密斯1984年出版的同名童书，故事围绕一个小男孩的“卧室保卫战”展开。,祖孙大战 The War with Grandpa,罗伯特·德尼罗/乌玛·瑟曼/劳拉·马兰洛,喜剧
107分钟,中国大陆,高鸣,IMDb链,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2577338648.jpg,汉语普通话 / 粤语,5.6,高鸣/刘兵,一对年轻的情侣小东和杜鹃住在城中村，日子过得磕磕碰碰。游乐城倒闭变成饮食城，为了在饮食城重建小舞台，小东留下暂时做了守湖保安。在守湖过程中，他认识了前来放生的女孩园园。杜鹃是个花艺师，在花店打工。杜鹃经常到客户龙老师家插花。龙老师特别神秘，年轻的杜鹃被龙老师这种神秘气息吸引。小舞台重建未果，小东被辞退。回家帮女友经营起“小丑花店”，女友要求小东扮成小丑送花。送花之余，小东会去园园家。园园以前是某剧团的舞蹈演员，后来因为感情问题离开了舞台。四个人的关系渐渐错位。暧昧的背后，都有不为人知的一面。在他们的彼此映照中，回南天悄然而至……,回南天,黄宇聪/陈宣宇/梁龙,剧情
109分钟,中国大陆,丁晟,IMDb链,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2576871245.jpg,汉语普通话,5.2,许阳/丁晟/贾志杰,《特警队》是华语内地警匪片中第一部完全以特警为主角的电影，影片以真实的特警精英队伍“蓝剑突击队”为人物原型，讲述了特警队员们对内在实战演练中互相博弈，置身训练场不断淬炼自我，场场来真的；对外无惧艰险，深入虎穴，齐心协力捣毁制毒基地、解救线人，共同守护城市安全的故事。,特警队,凌潇肃/贾乃亮/金晨,动作
88分钟,波兰,马里乌什·维尔琴斯基,IMDb链,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2585107469.jpg,英语 / 波兰语,7.1,阿格涅什卡·西伯/马里乌什·维尔琴斯基,描绘主角失去挚爱后，将他童年时代的卡通偶像与文学英雄藏在记忆深处。多年来，他在充满想像力的城市中，与这些英雄们同在，只是他发现自己已经长大，再也回不去永恒、不存在的青春岁月，他必须回到现实世界。,杀掉它，然后离开这个小镇 Zabij to i wyjedź z tego miasta,安杰伊·瓦伊达/玛雅·奥丝塔泽斯卡/达尼尔·奥勒布里斯基,动画
2020-08-21,美国,西娅·夏罗克,95,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2613338041.jpg,英语,6.7,麦克·怀特/凯瑟琳·阿普尔盖特,"根据同名获纽伯瑞大奖小说改编，KatherineApplegate写作，PatriciaCastelao绘制插图。

　　聚焦一只名叫Ivan的银背大猩猩，他与名叫Stella的大象和名叫Bob的流浪狗生活在一所大型购物中心的笼子里。Ivan对此前的生活毫无记忆，而当小象Ruby到来后，Ivan将负责照料她，他也开始逐渐想起过去的经历，拟定计划要逃脱牢笼，避免Stella遭受管理员的虐待。

　　朱莉将为Stella配音，普林斯为Ruby配音。",独一无二的伊万 The One and Only Ivan,山姆·洛克威尔/布莱恩·科兰斯顿/菲莉帕·苏,喜剧/奇幻/冒险
2020-03-13,英国 / 法国,菲莉帕·洛索普,106,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2577934795.jpg,英语,6.9,盖比·奇亚普/Rebecca Frayn,讲述1970年世界小姐选美比赛是全球亿万观众瞩目的国际盛事，一个新组成的女权组织认为选美是贬低女性，因此极力反对，更于比赛期间在众目睽睽下冲上舞台，扰乱和阻碍比赛进行。虽然她们立即就被逐离场，而比赛亦继续进行，但更触动观众神经的一幕却随即上演：当晚夺冠的佳丽竟然不是大热的瑞典小姐，而是来自西印度群岛岛国格林纳达的JenniferHosten，以黑马之姿成为史上首位获胜的黑人女性。就在短短一小时内，全球观众亲眼目睹父权主义被公然挑战，西方审美观亦被全然颠覆，一场选美翻起千重浪，亦为女权运动打下漂亮的一仗。,品行不端 Misbehaviour,凯拉·奈特莉/杰西·巴克利/古古·姆巴塔-劳,剧情/历史
2020-03-27,日本,盐谷直义,135,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2586461877.jpg,日语,7.9,冲方丁/深见真/吉上亮,"“正义”，即将开辟新世界。

　　将灵魂数值化的巨大监视网络·西比拉系统维持着人类治安的近未来。在不断改变的世界中，刑警们手持用于测定与犯罪有关的数值“犯罪系数”的枪支“支配者”，追捕着犯下罪行之前的“潜在犯”。

　　本作是于2012年播出的原创电视动画《PSYCHO-PASS心理测量者》的第三期作品，是关于两位新人监视官的故事。慎导灼与炯·米哈伊尔·伊格纳托夫，成为厚生省公安局的刑警，在这个不断改变的世界中追寻着真实。",心理测量者3：第一监视者 PSYCHO-PASS サイコパス 3 FIRST INSPECTOR,梶裕贵/中村悠一/樱井孝宏,动画/犯罪
2020-08-19,阿根廷,塞巴斯蒂安·辛德尔,99,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2620498291.jpg,西班牙语,7.1,巴勃罗·德尔特索/塞巴斯蒂安·辛德尔,绝望的母亲艾丽西亚竭尽所能阻止其子丹尼尔因谋杀前妻未遂而被判入狱。在这一过程中，艾丽西亚将发现一桩阴谋，这将彻底改变她的生活，并将其变成一个真正的噩梦。,约束的罪行 Crímenes de familia,塞西莉亚·罗特/米格尔·安吉尔·索拉/本杰明·阿玛迪奥,剧情/惊悚/犯罪
115分钟,意大利,弗朗切斯科·阿马托,IMDb链,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2580781631.jpg,意大利语,7.5,弗朗切斯科·阿马托/马西莫·高迪奥索/达维德·兰蒂耶里/阿莱西奥·维琴佐托,四十岁的艾丽莎意识到自己身患绝症，即将与自己的丈夫和女儿阴阳两隔。但在她死前，艾丽莎想了一个办法始终陪伴在孩子身边：她给女儿准备了18份生日礼物，直到后者成年为止。而这18份礼物给成长中的少女既带来的不仅是慰藉，还有对于家庭与生命的烦恼。,十八个礼物 18 Regali,维多利亚·普契尼/贝内黛塔·波尔卡罗利/爱德华多·莱奥,剧情
片长:,美国 / 日本,Yoshiyuki Okada,又,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2590092824.jpg,日语 / 英语,6.8,佐藤大/Tsukasa Kondo,Netflix科幻惊悚剧《副本/碳变》推出动画剧集，《副本：义体置换》发布预告，3月19日上线。《星际牛仔》编剧佐藤大创作剧本，设定在真人剧已展开的那个赛博朋克风世界，继续“人的意识数字化，可以换不同身体”，日本黑道、CTAC部队、忍者、一个女孩……各方大开杀戒，武·科瓦奇再次登场。,副本：义体置换 Altered Carbon: Resleeved,托德·哈伯空/理查德·埃帕卡/雷·蔡斯,科幻/动画
片长:,俄罗斯,费奥多尔·邦达尔丘克,又,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2577491093.jpg,俄语,5.7,奥列格·马洛维奇克/安德烈·佐洛塔廖夫,自从一艘外星飞船在莫斯科切尔塔诺夫坠落以来已经过去了3年，普通女孩朱莉娅在接触到外星技术之后，成为国防部秘密实验室的研究对象。在研究过程中，朱莉娅表现出不同寻常的能力。隐藏在其中的力量不仅吸引了人类的注意，而且对宇宙的规模构成了威胁。,莫斯科陷落2 Вторжение,伊琳娜·斯达申鲍姆/林奈·穆罕默托夫/亚历山大·佩特罗夫,科幻/灾难
90分钟,法国,Tristan Séguéla,IMDb链,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2572134412.jpg,法语,7.4,Jim Birmant/Tristan Séguéla,"故事发生在平安夜当天，在浓厚的圣诞气氛下，所有人都暂时放下手中的工作，享受和家人们团聚的喜悦。乔治（米歇尔·布朗MichelBlanc饰）似乎是这座城市里唯一一个还在工作的急症医生了，他接到了紧急的求救电话，风尘仆仆的赶往患者家中。

　　哪知道在半路上，一个冒冒失失的送餐员马利克（弗兰克·盖思堂彼得FranckGastambide饰）骑脚踏车撞到了他，虽然没受什么伤，却引发了乔治的老毛病——坐骨神经痛。无奈之下，马利克只得接替了乔治的职务，成为了临时医生赶往病人家，而乔治则在原地通过电话来告诉他如何治病。这次远程操控之下的治疗能否顺利进行呢？",医生在么 Docteur?,米歇尔·布朗/Hakim Jemili/索莱娜·里戈,喜剧
片长:,中国大陆,于大雄,又,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2623351132.jpg,汉语普通话,5.8,孙文可/李震寰,以“积案追逃”著称的刑警朱智龙屡破大案，唯独面对在逃十八年的梁福友，始终难以释怀。一起疑点重重的强奸案，更是将当年案件双方子女牵涉其中。重重压力下，朱智龙不屈不挠，由一个微弱的线索开始，抽丝剥茧，凭借胆识和魄力将真凶缉拿归案。,千里追凶,艾东/李易祥/是之,动作/犯罪
片长:,澳大利亚 / 美国,娜塔莉·埃丽卡·詹姆斯,又,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2608423087.jpg,英语,5.3,娜塔莉·埃丽卡·詹姆斯/克里斯蒂安·怀特,"艾德娜（罗苹·纳文RobynNevin饰）虽然年事已高但一直过着独居生活。一天，她的女儿凯（艾米莉·莫迪默EmilyMortimer饰）和孙女山姆（贝拉·希思科特BellaHeathcote饰）接到了警方的来电，告知了她们艾德娜失踪的消息。震惊之余，两人急急忙忙的赶回了祖宅。

　　搜索行动刚刚展开没多久，艾德娜竟然自己又出现了。对于失踪的这几天的经历，艾德娜只口不提，大家也只能够以她换上了阿兹海默症来解释这一切。艾德娜的回归让大家都松了一口气，但谁知道悲剧才刚刚开始，回家后的艾德娜一改往日的心性，就仿佛变了一个人一样，有时候她的举动甚至让凯和山姆感到恐惧。",遗落家庭 Relic,艾米莉·莫迪默/贝拉·希思科特/罗宾·奈文,恐怖
2020-08-07,英国 / 法国 / 美国 / 中国大陆,马克·穆登,99,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2586685657.jpg,英语,5.5,杰克·索恩/弗朗西丝·霍奇森·伯内特,原小说讲述玛丽父母双亡后，生活在姨夫阴暗神秘的大房子里，闯进了禁闭已久的花园，与迪肯、柯林等人找到了快乐的源泉。,秘密花园 The Secret Garden,迪克西·艾格瑞克斯/理查德·韩塞尔/大卫·韦雷,剧情/奇幻
片长:,美国,杰夫·瓦德洛,又,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2584076497.jpg,英语,5.4,吉莉安·雅各布斯/克里斯托弗·罗奇/杰夫·瓦德洛,迈克尔·佩纳将主演电影版[梦幻岛]，饰演剧集版中里卡多·蒙特尔班的角色。原剧包含黑暗主题及超自然元素，讲述太平洋上坐落着一个神秘度假岛屿，人们的各种古怪要求似乎都可以在这里得到满足。本片由杰夫·瓦德洛([海扁王2])自编自导，故事讲述岛上的监工罗尔克警告客人们，他们的幻想可能无法实现。,梦幻岛 Fantasy Island,露西·海尔/李美琪/波茜娅·道布尔戴,恐怖/冒险
2020-07-24,中国大陆,陈德森,110,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2613925251.jpg,汉语普通话,5.1,刘奋斗/文宁,故事发生在虚构的中原大陆。十国之中，南赵国与北燕国比邻而居。为了防御日益强大的北燕，南赵举办比武大会，选拔将才。消息传到偏僻的清源村，村民东一龙想成为家族的举旗人，代表清源村家族出赛，村民们却质疑他的资格，经过一番努力，一龙终于踏上了与武士楚魂的征途……,征途,刘宪华/何润东/林辰涵,动作/奇幻/冒险
片长:,韩国,崔正烈,又,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2576730703.jpg,韩语,6.6,崔正烈/赵锦山,"电影改编自同名人气漫画，讲述的是离家出走的青少年的成长故事。

　　离家出走的叛逆儿泽日（朴正民饰）与盲目踏入社会并满腔热血的尚弼（丁海寅饰），在遇见长风饭馆的厨师长猛男哥（马东锡饰）后，让自己明白了什么是世间愉快与开心的故事。",始动 시동,马东锡/朴正民/丁海寅,剧情/喜剧
片长:,美国,布雷特·海利,又,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2577021302.jpg,英语,6.9,丽兹·汉娜/Jennifer Niven,影片根据詹妮弗·尼文2015年畅销小说改编，故事讲述维奥莱特·马基(范宁饰)和西奥多·芬奇(史密斯饰)这两个高中生和精神疾病不断作斗争，他们相遇并发现各自内心的世界。,所有明亮的地方 All the Bright Places,艾丽·范宁/贾斯蒂斯·史密斯/科甘-迈克尔·凯,剧情/爱情
2020-08-14,美国,尤金·科特亚伦科,93,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2616766494.jpg,英语,5.6,尤金·科特亚伦科/Gene McHugh,影片由尤金·科特亚伦科执导，《怪奇物语》演员乔·基瑞主演，他在片中扮演的是一个为了寻求刺激，在网上直播虐待乘客的网约车司机。,车速过快 Spree,乔·基瑞/萨西尔·扎玛塔/大卫·阿奎特,喜剧/惊悚
2020-01-24,日本,棚田由纪,123,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575357474.jpg,日语,6.3,棚田由纪,影片改编自导演的同名小说，讲述的是制作充气娃娃的职人哲雄与其妻子园子的爱情故事：哲雄对园子一见钟情而结婚，他隐瞒着自己的真实工作普通过活，但却因过度热衷充气娃娃的制作而令夫妻关系产生危机。在这样的情况下，园子向哲雄坦白了心中怀揣着的秘密……,爱情人偶 ロマンスドール,高桥一生/苍井优/古关安广,剧情/爱情
97分钟,韩国,金光彬,IMDb链,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2580988442.jpg,韩语,5.7,金光彬,"自从妻子过世后，尚元（河正宇饰）和女儿的关系越来越疏远，于是他决定带着女儿搬到乡下，修复彼此的关系。但即使搬家后，尚元仍专注于自己的工作，不多关心女儿。女儿多了更多独处的时间，且开始表现出奇怪和令人不安的行为，而尚元也开始在家中遭遇离奇的现象。某天，女儿竟突然在衣橱前消失得无影无踪……

　　无论尚元如何寻找，就是找不到女儿的踪迹。此时，一名叫做庆勋（金南佶饰）突然找上门来，并称自己知道关于那衣橱的秘密。为了寻找尚元的女儿，庆勋坚持要尚元和他一起闯入「中间地带」，于是两人开始揭开隐藏于衣橱背后不可告人的真相……",衣橱 클로젯,河正宇/金南佶,恐怖
片长:,中国大陆,苗月,IMDb链,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2619211363.jpg,汉语普通话,7.4,郎月婷,影片以黄文秀为人物原型，讲述了黄文秀放弃大城市的工作机会，毅然回到家乡，在脱贫攻坚第一线倾情投入、奉献自我的故事。,秀美人生,郎月婷,剧情/传记
上映日期:,日本,中田秀夫,片,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2572934998.jpg,日语,5.5,大石哲也,以黑长发女性为目标的连续杀人事件解决数月后，在同一事件现场又发现了新的身份不明的尸体。过去受过创伤的刑警·加贺谷学（千叶雄大）为了探究真相，前往自己曾经逮捕过的连续杀人狂·浦野善治（成田凌）那里。“是你杀的吗?”面对加贺谷的询问，狱中的浦野透露了自己尊为老师的“M”这个神秘人物的存在。不久，加贺谷得知恋人松田美乃里（白石麻衣）被神秘男子盯上后做出了痛苦的选择，于是决定委托浦野协助调查……,虽然只是弄丢了手机2 スマホを落としただけなのに 囚われの殺人鬼,千叶雄大/成田凌/白石麻衣,剧情/悬疑/惊悚
2020-01-17,芬兰,安提·乔金恩,121,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2548806468.jpg,芬兰语,7.5,安提·乔金恩/马尔科·雷诺/拉克尔·列胡,故事发生在1915年。海莲娜是一位被遗忘的艺术家，她与年迈的母亲一起生活在乡下。距离她上一次办画展以来已经过去了很多年，海莲娜继续坚持着自己的热爱——绘画。当一个艺术品经销商发现了海莲娜和她的159幅令人惊叹的画作，并想要组织一个大型个展后，一切都会改变。但是，海莲娜一生中最重要的时刻是她与埃纳尔·路透的相遇带来的。埃纳尔是一位护林人，也是海莲娜及其艺术的狂热崇拜者。他成为了海莲娜的知己，也与她发展出了一段以悲剧告终的亲密关系。,海莲娜：画布人生 Helene,劳拉·布林/约翰内斯·霍洛佩宁/皮尔科·赛西欧,剧情/爱情/传记
2019-12-20,美国,汤姆·霍伯,110,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574669959.jpg,英语,4.1,李·哈尔/安德鲁·洛伊德·韦伯/T·S·艾略特/汤姆·霍伯,"韦伯经典音乐剧《猫》将拍电影版，演员定为詹妮弗·哈德森、泰勒·斯威夫特、詹姆斯·柯登、伊恩·麦克莱恩。

　　歌手出身、曾凭《追梦女郎》获奥斯卡最佳女配的哈德森饰演“魅力猫”葛丽兹贝拉，历尽沧桑的她将唱出经典歌曲《Memory》，别的演员角色尚未公布。汤姆·霍伯(《国王的演讲》《悲惨世界》《丹麦女孩》)执导，LeeHall(《跳出我天地》)编剧，WorkingTitle影业出品，11月在英国开拍。",猫 Cats,詹妮弗·哈德森/泰勒·斯威夫特/詹姆斯·柯登,音乐/歌舞/奇幻
