name,company_name,salary,city,work_years,education,desc
python爬虫工程师/实习/有offer,上海萌泰数据科技股份有限公司,3k-4k,南京,在校应届,大专及以上,职位描述：【岗位职责】1.参与设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析工作；2.参与各类新闻网站数据抓取、清洗、消重等工作，提升平台的抓取效率；3.参与爬虫核心算法和策略优化，熟悉采集系统的调度策略；4.实时监控爬虫的进度和警报反馈；【任职要求】1.熟悉Linux系统，掌握Python或Java语言；2.熟练掌握scrapy框架，了解多线程、多进程、网络通信编程相关知识，有分布式爬虫架构，数据挖掘经验；3.掌握网页抓取原理及技术，了解基于Cookie的登录原理，熟悉基于正则表达式、XPath、CSS等网页信息抽取技术；4.熟悉各种反爬机制，掌握Selenium，APP破解技术优先；5.做过数据处理、ETL等相关工作优先；6.对大数据相关技术感兴趣。【工作地点】南京大学仙林校区·南大科学园【薪资待遇】1.实习生工资，120-200一天，至少实习三个月以上，看表现有工资涨幅。2.朝九晚六，双休，加班少。3.准大四长期实习，提供转正offer。
python爬虫工程师,上海传兴科技有限公司,13k-26k·16薪,上海,经验1-3年,本科及以上,职位描述：岗位要求：1.设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析；2.网页信息抽取、数据清洗等研发和优化工作；3.海外媒体网站数据的深度提取和挖掘。岗位职责：1.精通Python开发，熟悉使用Scrapy爬虫框架。2.熟悉HTTP协议，HTML，DOM并有一定的Javascript能力。3.熟练使用Xpath，正则表达式等基本工具从网页中抽取有效信息。4.熟悉Mysql，Redis等数据库。5.熟悉移动端和web端数据抓取，熟悉charlse，appium，selenium等工具。6.有海外媒体网站数据采集经验者优先。
