岗位名称,公司名称,工作地点,薪资,工作福利,公司类型,招聘人数,工作经验,发布日期,公司规模,招聘详情
成本会计,江苏贝尔装饰材料有限公司,常州,5-8千/月,五险一金,民营公司,6.0,4.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/changzhou/133127782.html?s=sou_sou_soulb&t=0_0
会计,山东凯奇餐饮有限公司,威海,4.5-6千/月,五险一金 包吃 节日福利 通讯补贴 年终奖金,民营公司,5.0,5.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/weihai/133127260.html?s=sou_sou_soulb&t=0_0
会计周末双休五险一金,武汉妙创健康科技有限公司,武汉-江汉区,4.5-6千/月,周末双休 五险一金 带薪年假,民营公司,5.0,6.0,2021-06-27 13:39:32,少于50人,https://jobs.51job.com/wuhan-jhq/126202031.html?s=sou_sou_soulb&t=0_0
会计助理,上海弘菱国际贸易有限公司,上海,5-6.5千/月,做五休二 五险一金 带薪年假 节日福利 全勤奖 交通补贴 餐饮补贴 周末双休,民营公司,6.0,3.0,2021-06-27 13:36:04,少于50人,https://jobs.51job.com/shanghai/130985939.html?s=sou_sou_soulb&t=0_0
内账会计,广东正凌实业发展有限公司,广州-番禺区,4.5-6千/月,五险 包吃 绩效奖金 全勤奖,民营公司,5.0,4.0,2021-06-27 13:32:39,150-500人,https://jobs.51job.com/guangzhou-pyq/132000782.html?s=sou_sou_soulb&t=0_0
会计,宁波百逸网络科技有限公司,宁波-鄞州区,5-8千/月,五险一金 员工旅游 专业培训 绩效奖金,民营公司,5.0,5.0,2021-06-27 13:29:41,50-150人,https://jobs.51job.com/ningbo-yzq/132969470.html?s=sou_sou_soulb&t=0_0
财务会计,南京苏女健康管理咨询有限公司,南京-栖霞区,4-6千/月,绩效奖金 员工旅游 餐饮补贴 早九晚五 节日福利 五险一金,民营公司,5.0,3.0,2021-06-27 13:28:52,50-150人,https://jobs.51job.com/nanjing-qxq/133133429.html?s=sou_sou_soulb&t=0_0
会计,上海丰邑新型建材有限公司,上海-松江区,6-9千/月,周末双休 五险一金 节日福利 加班补贴 工龄工资 父母养老金 员工旅游 年终奖金,合资,4.0,5.0,2021-06-27 13:11:38,50-150人,https://jobs.51job.com/shanghai-sjq/131879480.html?s=sou_sou_soulb&t=0_0
代理记账会计助理,宁波君联会计师事务所(普通合伙),宁波-北仑区,3-4.5千/月,员工旅游 出国机会 专业培训 餐饮补贴 年终奖金 绩效奖金 股票期权 弹性工作 定期体检,创业公司,6.0,3.0,2021-06-27 13:00:01,50-150人,https://jobs.51job.com/ningbo-blq/102436915.html?s=sou_sou_soulb&t=0_0
会计,深圳市广诚信财务代理有限公司,深圳-福田区,6-8千/月,五险一金 周末双休,民营公司,4.0,5.0,2021-06-27 12:56:34,少于50人,https://jobs.51job.com/shenzhen-ftq/132992315.html?s=sou_sou_soulb&t=0_0
成本会计,成都博泰超豪精密压铸有限公司,成都-龙泉驿区,4-4.5千/月,包吃,民营公司,5.0,4.0,2021-06-27 12:50:12,50-150人,https://jobs.51job.com/chengdu-lqyq/133133353.html?s=sou_sou_soulb&t=0_0
会计,广州万年置业有限公司,广州-花都区,6-8千/月,五险一金 周末双休,民营公司,5.0,4.0,2021-06-27 12:39:09,150-500人,https://jobs.51job.com/guangzhou-hdq/131696019.html?s=sou_sou_soulb&t=0_0
会计主管,广东铭洪建筑工程有限公司,广州-天河区,0.8-1.5万/月,员工旅游 弹性工作 年终奖金 五险 定期体检 专业培训,民营公司,6.0,6.0,2021-06-27 12:15:51,少于50人,https://jobs.51job.com/guangzhou-thq/131061142.html?s=sou_sou_soulb&t=0_0
结算会计,东莞东风南方汽车销售服务有限公司樟木头分公司,东莞-樟木头镇,4-4.2千/月,带薪年假 五险一金 包吃 包三餐 包住宿 绩效奖金 节日福利 加班补贴,民营公司,5.0,3.0,2021-06-27 11:50:07,150-500人,https://jobs.51job.com/dongguan-zmtz/133133097.html?s=sou_sou_soulb&t=0_0
成本会计,广州欧尼光电科技有限公司,佛山-南海区,4-6千/月,弹性工作 员工旅游 包吃 绩效奖金 节日福利,民营公司,5.0,3.0,2021-06-27 11:46:28,少于50人,https://jobs.51job.com/foshan-nhq/129474486.html?s=sou_sou_soulb&t=0_0
总账会计（建筑施工）,河南正艺居装饰工程有限公司,郑州-经开区,4-8千/月,五险 周末双休 法定节假日 节日福利,民营公司,5.0,5.0,2021-06-27 11:33:55,50-150人,https://jobs.51job.com/zhengzhou-jkq/132809127.html?s=sou_sou_soulb&t=0_0
主办会计,韶关市卓越汽车销售服务有限公司,韶关,4.5-6千/月,包吃 月休四天 带薪培训 五险一金 全勤奖 节日福利 专业培训,民营公司,5.0,5.0,2021-06-27 11:28:00,50-150人,https://jobs.51job.com/shaoguan/121500488.html?s=sou_sou_soulb&t=0_0
财务会计,疏博（上海）纳米科技有限公司,上海-松江区,6-8千/月,年终奖金 绩效奖金 餐饮补贴 弹性工作 包吃 带薪年假 加班补贴,民营公司,5.0,3.0,2021-06-27 11:24:38,50-150人,https://jobs.51job.com/shanghai-sjq/132467605.html?s=sou_sou_soulb&t=0_0
急招财务主办会计,台威技术无锡有限公司,无锡-无锡新区,4-6千/月,弹性工作 绩效奖金 五险一金 高温补贴,民营公司,5.0,5.0,2021-06-27 11:14:44,少于50人,https://jobs.51job.com/wuxi-wxxq/85442444.html?s=sou_sou_soulb&t=0_0
全盘会计,深圳市正泓融资担保有限公司,深圳-福田区,0.6-1万/月,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 全勤奖 节日福利,民营公司,6.0,3.0,2021-06-27 11:14:42,150-500人,https://jobs.51job.com/shenzhen-ftq/131231559.html?s=sou_sou_soulb&t=0_0
会计,深圳易龙泰科技有限公司,深圳-南山区,8-10万/年,带薪年假 绩效奖金 包住宿 加班补贴 通讯补贴 餐饮补贴 全勤奖 节日福利,民营公司,5.0,3.0,2021-06-27 11:14:05,150-500人,https://jobs.51job.com/shenzhen-nsq/129045253.html?s=sou_sou_soulb&t=0_0
会计,东莞市竞成鑫电子设备有限公司,东莞-常平镇,4.5-6千/月,五险一金 包住宿 餐饮补贴 弹性工作 年底分红 单休 不定期团建 公司旅游 节日福利 绩效奖金,民营公司,5.0,5.0,2021-06-27 11:10:08,50-150人,https://jobs.51job.com/dongguan-cpz/133112419.html?s=sou_sou_soulb&t=0_0
电商会计,广州市破云贸易有限公司,广州-白云区,5-7千/月,员工旅游 专业培训 年终奖金 绩效奖金,民营公司,5.0,4.0,2021-06-27 11:03:57,少于50人,https://jobs.51job.com/guangzhou-byq/131969644.html?s=sou_sou_soulb&t=0_0
主办会计（劳务公司）,华锦建设集团股份有限公司,宁波-鄞州区,6-8千/月,五险一金 通讯补贴 员工旅游 定期体检 高温补贴 弹性工作 做五休二 包住宿,民营公司,5.0,5.0,2021-06-27 11:00:01,500-1000人,https://jobs.51job.com/ningbo-yzq/119641753.html?s=sou_sou_soulb&t=0_0
会计,沈阳百盛购物广场有限公司,沈阳-和平区,3-4千/月,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检 带薪年假,外资（非欧美）,6.0,4.0,2021-06-27 10:47:53,500-1000人,https://jobs.51job.com/shenyang-hpq/132697442.html?s=sou_sou_soulb&t=0_0
会计,北京千禾颐养家苑养老服务有限责任公司,北京-昌平区,5-6千/月,年终奖金 通讯补贴 包住宿 带薪年假 五险一金 包三餐 做五休二,民营公司,5.0,3.0,2021-06-27 10:46:52,150-500人,https://jobs.51job.com/beijing-cpq/130696120.html?s=sou_sou_soulb&t=0_0
应付会计,荆州市红叶针织服饰有限公司,荆州,3-4千/月,包住宿 免费班车 节日福利 带薪年假 专业培训 餐饮补贴,民营公司,5.0,3.0,2021-06-27 10:40:23,500-1000人,https://jobs.51job.com/jingzhou/133132802.html?s=sou_sou_soulb&t=0_0
全盘记账会计,顺启财税咨询（上海）有限公司,上海-宝山区,5-6千/月,五险一金 年终奖金,民营公司,5.0,4.0,2021-06-27 10:40:08,少于50人,https://jobs.51job.com/shanghai-bsq/133132752.html?s=sou_sou_soulb&t=0_0
会计教师,四川大学锦江学院,眉山,0.6-1万/月,五险一金 定期体检 节日慰问 教工餐厅 免费校车 酒店式公寓 工会活动 健身俱乐部,非营利组织,7.0,10.0,2021-06-27 10:38:01,1000-5000人,https://jobs.51job.com/meishan/120509981.html?s=sou_sou_soulb&t=0_0
会计,四川众合智控科技有限公司,成都-金牛区,6-8千/月,五险一金 带薪年假 节日福利 餐饮补贴 通讯补贴 高温补贴,民营公司,6.0,6.0,2021-06-27 10:34:42,150-500人,https://jobs.51job.com/chengdu-jnq/131530516.html?s=sou_sou_soulb&t=0_0
财务会计专员+社保,陕西蓝方电子科技有限公司,西安-碑林区,3-9千/月,五险一金 年终奖金 专业培训 全勤奖,民营公司,6.0,4.0,2021-06-27 10:33:33,少于50人,https://jobs.51job.com/xian-blq/120502325.html?s=sou_sou_soulb&t=0_0
会计助理,武汉建银汉海汽车销售有限公司,武汉-汉阳区,4-4.5千/月,社保五险 免费班车 员工旅游 交通补贴 餐饮补贴 专业培训 出国机会 绩效奖金 年终奖金,上市公司,5.0,4.0,2021-06-27 10:20:05,50-150人,https://jobs.51job.com/wuhan-hyq/133132634.html?s=sou_sou_soulb&t=0_0
主办会计,浙江焕美科技有限公司,浙江省,0.7-1.2万/月,社会保险 包吃住 绩效奖金 年终奖金 小米生态链 带薪年假 包住宿 节日福利,民营公司,6.0,6.0,2021-06-27 10:15:44,150-500人,https://jobs.51job.com/zhejiangsheng/123505983.html?s=sou_sou_soulb&t=0_0
总账会计,上海百功半导体有限公司,上海-闵行区,0.8-1.5万/月,五险一金 餐饮补贴 定期体检 年终奖金 节日福利,民营公司,5.0,6.0,2021-06-27 10:15:41,50-150人,https://jobs.51job.com/shanghai-mhq/132974754.html?s=sou_sou_soulb&t=0_0
会计,武汉市长泓通讯公司,武汉-江岸区,0.8-1万/月,社会保险 年终奖金 员工旅游 包住宿,民营公司,5.0,5.0,2021-06-27 10:06:28,50-150人,https://jobs.51job.com/wuhan-jaq/125217316.html?s=sou_sou_soulb&t=0_0
会计助理,深圳市恒龙兴代理记帐咨询服务有限公司,深圳,4-6千/月,做五休二 五险一金 包住宿 全勤奖 节日福利 弹性工作,民营公司,5.0,3.0,2021-06-27 10:04:18,少于50人,https://jobs.51job.com/shenzhen/126892469.html?s=sou_sou_soulb&t=0_0
会计（怀集上班）,广东垣宇建筑工程有限公司,肇庆-怀集县,3.5-5千/月,社保 包吃 全勤奖 节日福利,民营公司,5.0,4.0,2021-06-27 10:03:54,50-150人,https://jobs.51job.com/zhaoqing-hjx/122283362.html?s=sou_sou_soulb&t=0_0
出纳会计,江苏思贝商务服务有限公司,南京-江宁区,4.5-6千/月,五险一金 通讯补贴 绩效奖金 弹性工作 专业培训 带薪年假 周末双休,民营公司,5.0,3.0,2021-06-27 10:00:47,少于50人,https://jobs.51job.com/nanjing-jnq/122451246.html?s=sou_sou_soulb&t=0_0
会计,石家庄花都铨球汽车科技有限公司,石家庄-鹿泉区,3-6千/月,弹性工作 餐饮补贴 专业培训 节日福利 绩效奖金 高温补贴 通讯补贴,民营公司,4.0,3.0,2021-06-27 09:53:36,少于50人,https://jobs.51job.com/shijiazhuang-lqq/133131425.html?s=sou_sou_soulb&t=0_0
会计,澳思美日用化工（广州）有限公司,广州,5.5-7千/月,做五休二 周末双休 带薪年假 五险一金 节日福利 全勤奖 高温补贴 免费工作餐 年度体检 年度旅游,外资（非欧美）,5.0,6.0,2021-06-27 09:49:33,150-500人,https://jobs.51job.com/guangzhou/122123067.html?s=sou_sou_soulb&t=0_0
电商会计,广州芬仙贸易有限公司,广州-越秀区,6-8千/月,带薪年假 绩效奖金 全勤奖 节日福利 专业培训 交通补贴 餐饮补贴 加班补贴 住房补贴,民营公司,5.0,3.0,2021-06-27 09:40:11,少于50人,https://jobs.51job.com/guangzhou-yxq/133132419.html?s=sou_sou_soulb&t=0_0
会计,上海古星电子商务有限公司,上海,0.8-1.2万/月,做五休二 周末双休 绩效奖金 带薪年假 五险一金 节日福利,外资（非欧美）,6.0,4.0,2021-06-27 09:26:48,500-1000人,https://jobs.51job.com/shanghai/132984721.html?s=sou_sou_soulb&t=0_0
会计真账实训,哈尔滨市企兴财务管理咨询有限公司,哈尔滨,3-4.5千/月,专业培训 绩效奖金 周末双休,民营公司,5.0,5.0,2021-06-27 09:26:15,50-150人,https://jobs.51job.com/harbin/126886018.html?s=sou_sou_soulb&t=0_0
会计助理,广州市简易财税咨询有限公司,广州-天河区,3-6千/月,周末双休 五险一金 带薪年假,民营公司,5.0,3.0,2021-06-27 09:17:27,少于50人,https://jobs.51job.com/guangzhou-thq/115871037.html?s=sou_sou_soulb&t=0_0
主办会计（萝岗大众）,广州南菱汽车股份有限公司,广州-黄埔区,5.5-6.3千/月,五险一金 员工旅游 定期体检 带薪年假 免费班车 节日福利,民营公司,5.0,4.0,2021-06-27 09:17:04,1000-5000人,https://jobs.51job.com/guangzhou-hpq/132864050.html?s=sou_sou_soulb&t=0_0
成本会计,绵阳正能新能源技术有限公司,绵阳,5-8千/月,五险一金 带薪年假 节日福利 生日福利 年度体检 高温补贴 双休 晋升平台 专业培训,民营公司,6.0,5.0,2021-06-27 09:13:26,50-150人,https://jobs.51job.com/mianyang/128240496.html?s=sou_sou_soulb&t=0_0
外勤会计,一诺快记（山东）商务服务集团有限公司,济南-历下区,3-4.5千/月,绩效奖金 股票期权 年终奖金 带薪培训 假日福利,民营公司,5.0,10.0,2021-06-27 09:10:06,少于50人,https://jobs.51job.com/jinan-lxq/133132267.html?s=sou_sou_soulb&t=0_0
会计/会计师,东莞市精准会计代理有限公司,东莞-南城区,5-8千/月,节日福利 专业培训 五险一金 年终奖金 员工旅游 带薪年假 全勤奖 包住宿,民营公司,5.0,3.0,2021-06-27 09:08:31,50-150人,https://jobs.51job.com/dongguan-ncq/105196243.html?s=sou_sou_soulb&t=0_0
会计,福建省杉朴工程建设有限公司,福州-晋安区,4-5千/月,周末双休 带薪年假 节日福利 五险,民营公司,5.0,5.0,2021-06-27 09:08:28,50-150人,https://jobs.51job.com/fuzhou-jaq/132040646.html?s=sou_sou_soulb&t=0_0
财务会计专员,合肥华清伽马科技有限公司,宁波-镇海区,6-8千/月,员工旅游 专业培训 通讯补贴 餐饮补贴 交通补贴 绩效奖金 年终奖金 弹性工作 定期体检,民营公司,5.0,10.0,2021-06-27 09:08:19,50-150人,https://jobs.51job.com/ningbo-zhq/132769391.html?s=sou_sou_soulb&t=0_0
总账会计,武汉无线飞翔科技有限公司,武汉-东湖新技术产业开发区,6-9千/月,五险一金 员工旅游 年终奖金 绩效奖金 专业培训,民营公司,6.0,6.0,2021-06-27 09:08:16,150-500人,https://jobs.51job.com/wuhan-dhxjs/132705359.html?s=sou_sou_soulb&t=0_0
代帐会计,广东中科企航企业管理科技有限公司,东莞-松山湖区,6-8千/月,弹性工作 员工旅游 绩效奖金 交通便利 专业培训 节日福利 年终奖金,民营公司,5.0,3.0,2021-06-27 09:08:15,50-150人,https://jobs.51job.com/dongguan-sshq/133065563.html?s=sou_sou_soulb&t=0_0
会计/税务助理,湖北中翰博信税务师事务有限公司,襄阳,3-5千/月,专业培训 绩效奖金 弹性工作,民营公司,5.0,3.0,2021-06-27 09:08:13,少于50人,https://jobs.51job.com/xiangyang/129183244.html?s=sou_sou_soulb&t=0_0
会计（道滘）,东莞市清研联华集群注册托管有限公司,东莞-道滘镇,4.5-6千/月,节日福利 五险一金 专业培训 上班5.5天 绩效奖金,民营公司,5.0,3.0,2021-06-27 09:08:11,50-150人,https://jobs.51job.com/dongguan-djz/66833458.html?s=sou_sou_soulb&t=0_0
总账会计,重庆今卓首运车厢制造有限公司,重庆-江津区,5-6千/月,包住宿 五险 专业培训 包吃,民营公司,5.0,5.0,2021-06-27 09:08:07,50-150人,https://jobs.51job.com/chongqing-jjq/127750447.html?s=sou_sou_soulb&t=0_0
会计,襄阳盛阳精工机械有限公司,襄阳,3-4.5千/月,五险一金 节日福利 全勤奖,民营公司,5.0,5.0,2021-06-27 09:08:06,少于50人,https://jobs.51job.com/xiangyang/128081316.html?s=sou_sou_soulb&t=0_0
总账会计/全盘会计,深圳市风华物流有限公司佛山分公司,佛山-禅城区,5-7千/月,餐饮补贴 住房补贴 绩效奖金 专业培训 全勤奖 带薪年假 节日福利,民营公司,5.0,5.0,2021-06-27 09:08:04,50-150人,https://jobs.51job.com/foshan-ccq/130990028.html?s=sou_sou_soulb&t=0_0
内账会计,广东聚晨知识产权代理有限公司,佛山-禅城区,5-6千/月,带薪年假 绩效奖金 节日福利 专业培训 五险 员工旅游,民营公司,5.0,4.0,2021-06-27 09:08:02,50-150人,https://jobs.51job.com/foshan-ccq/123725093.html?s=sou_sou_soulb&t=0_0
成本会计,深圳市恒兴源财务咨询有限公司,深圳-龙华区,5-6千/月,全勤奖 五险 绩效奖金 专业培训,民营公司,5.0,3.0,2021-06-27 09:07:58,少于50人,https://jobs.51job.com/shenzhen-lhq/128144822.html?s=sou_sou_soulb&t=0_0
会计,深圳中维装饰（集团）股份有限公司,深圳-福田区,4.5-6.5千/月,周末双休 五险一金 包吃 包住宿 节日福利,民营公司,4.0,4.0,2021-06-27 09:07:55,50-150人,https://jobs.51job.com/shenzhen-ftq/132949306.html?s=sou_sou_soulb&t=0_0
应收会计,上海晶粮贸易有限公司,上海-浦东新区,7-9千/月,五险一金,民营公司,5.0,3.0,2021-06-27 09:07:55,少于50人,https://jobs.51job.com/shanghai-pdxq/132817421.html?s=sou_sou_soulb&t=0_0
成本会计 (MJ000837),傲基科技股份有限公司,深圳-龙岗区,0.8-1.2万/月,五险一金 交通补贴 绩效奖金 弹性工作 住宿 加班餐,上市公司,6.0,4.0,2021-06-27 09:07:33,1000-5000人,https://jobs.51job.com/shenzhen-lgq/131246428.html?s=sou_sou_soulb&t=0_0
主办会计,浙江国厦装饰工程集团有限公司,杭州-上城区,0.8-1万/月,餐饮补贴 周末双休 节日福利 购买五险,民营公司,5.0,5.0,2021-06-27 09:06:40,50-150人,https://jobs.51job.com/hangzhou-scq/129725031.html?s=sou_sou_soulb&t=0_0
会计,广州凯芯贸易有限公司,广州-天河区,6-8千/月,周末双休 五险一金 员工旅游 绩效奖金,外资（非欧美）,6.0,5.0,2021-06-27 09:06:40,少于50人,https://jobs.51job.com/guangzhou-thq/125154615.html?s=sou_sou_soulb&t=0_0
财务会计专员,青岛丰禾奥恺食品有限公司,上海-浦东新区,0.8-1万/月,五险一金 全勤奖 免费班车 年终奖金 员工旅游,民营公司,5.0,4.0,2021-06-27 09:06:38,少于50人,https://jobs.51job.com/shanghai-pdxq/133072321.html?s=sou_sou_soulb&t=0_0
会计,深圳市派妮欧电子有限公司,深圳,0.8-1万/月,五险一金 补充医疗保险 员工旅游 专业培训 出国机会 年终奖金 定期体检,民营公司,5.0,6.0,2021-06-27 09:06:32,少于50人,https://jobs.51job.com/shenzhen/131817199.html?s=sou_sou_soulb&t=0_0
会计,广东珠江燃气集团股份有限公司,广州-白云区,5-6千/月,提供中餐 周末双休,民营公司,5.0,5.0,2021-06-27 09:06:11,50-150人,https://jobs.51job.com/guangzhou-byq/129981699.html?s=sou_sou_soulb&t=0_0
会计,精财汇智（海南）企业管理咨询有限公司,海口-龙华区,4.5-6千/月,周末双休 弹性工作 节日福利 通讯补贴 员工旅游 生日福利 年终奖励,民营公司,6.0,4.0,2021-06-27 09:06:10,150-500人,https://jobs.51job.com/haikou-lhq/133065891.html?s=sou_sou_soulb&t=0_0
会计,泰州市锐智财税咨询服务有限公司,泰州-海陵区,4.5-6千/月,绩效奖金,民营公司,5.0,5.0,2021-06-27 09:06:04,少于50人,https://jobs.51job.com/taizhou-hlq/131470773.html?s=sou_sou_soulb&t=0_0
A-Level数学/会计教师,厦门新航道留学服务有限责任公司,厦门-思明区,0.7-1.5万/月,五险一金 定期体检 绩效奖金 专业培训 带薪年假,民营公司,6.0,10.0,2021-06-27 09:06:01,150-500人,https://jobs.51job.com/xiamen-smq/126534256.html?s=sou_sou_soulb&t=0_0
财务会计专员,江苏杜帮智能科技有限公司,常州-武进区,4.5-6千/月,五险一金 餐饮补贴 节日福利 带薪年假,民营公司,5.0,5.0,2021-06-27 09:06:00,150-500人,https://jobs.51job.com/changzhou-wjq/132889268.html?s=sou_sou_soulb&t=0_0
高新会计,广东安达企业服务有限公司,东莞,0.8-1万/月,员工旅游 绩效奖金 专业培训 年终奖金 交通补贴 通讯补贴 股票期权 周末单双休 社保,民营公司,5.0,5.0,2021-06-27 09:05:55,50-150人,https://jobs.51job.com/dongguan/127698103.html?s=sou_sou_soulb&t=0_0
会计助理,深圳市优恩半导体有限公司,深圳-龙华区,5-7.5千/月,五险一金 员工旅游 年终奖金 专业培训 交通补贴 通讯补贴 周末双休,民营公司,4.0,3.0,2021-06-27 09:05:44,少于50人,https://jobs.51job.com/shenzhen-lhq/132852743.html?s=sou_sou_soulb&t=0_0
会计,昆明泊辰酒店管理有限公司,昆明-五华区,3-4.5千/月,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 绩效奖金 股票期权,合资,5.0,3.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/kunming-whq/133123434.html?s=sou_sou_soulb&t=0_0
会计,捷鹏塑胶（深圳）有限公司,深圳-光明区,6-8千/月,包住 餐补 养老保险 医疗保险 工伤保险 失业保险 生育保险 国家法定假 免费培训 免费体检,外资（非欧美）,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/shenzhen-gmq/133123392.html?s=sou_sou_soulb&t=0_0
财务会计(南京),香飘飘食品股份有限公司,南京-玄武区,6-8千/月,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 员工旅游 年终奖金,民营公司,6.0,4.0,2021-06-27 04:00:44,5000-10000人,https://jobs.51job.com/nanjing-xwq/133123294.html?s=sou_sou_soulb&t=0_0
会计,黄山王光熙松萝茶业股份公司,黄山,6-8千/月,五险一金 年终奖金 绩效奖金 专业培训 员工旅游 通讯补贴,民营公司,6.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/huangshan/133123240.html?s=sou_sou_soulb&t=0_0
记账会计,展睿投资咨询（深圳）有限公司,深圳-罗湖区,6-8千/月,五险一金 绩效奖金 每年有调薪 节日福利 带薪年假 工作氛围轻松 交通便利 周末双休 专业培训 氛围好,外资（非欧美）,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shenzhen-lhq/133122611.html?s=sou_sou_soulb&t=0_0
总账会计,宜宾发展控股集团有限公司,宜宾,15-20万/年,五险一金 专业培训 交通补贴 餐饮补贴 通讯补贴 绩效奖金 周末双休 带薪年假 补充医疗保险 定期体检,国企,7.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/yibin/133121668.html?s=sou_sou_soulb&t=0_0
会计主管,广州寅林纺织品有限公司,佛山,4.5-6千/月,绩效奖金 年终奖金 交通补贴 通讯补贴 餐饮补贴 住房补贴 月休4天 节日福利,民营公司,4.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/foshan/133104175.html?s=sou_sou_soulb&t=0_0
财务会计专员（双休）,深圳标榜建设集团有限公司,深圳-南山区,7-8千/月,五险一金 年终奖金 周末双休 朝九晚六,民营公司,5.0,4.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shenzhen-nsq/133045947.html?s=sou_sou_soulb&t=0_0
成本会计,青岛博诺信合时装有限公司,青岛-李沧区,4.5-6千/月,五险一金 周末双休 节日福利 专业培训,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/qingdao-lcq/133044676.html?s=sou_sou_soulb&t=0_0
会计,达州市天和贸易有限责任公司,内江,4.5-6千/月,餐饮补贴 交通补贴 节日福利 带薪年假 专业培训 绩效奖金,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/neijiang/133040636.html?s=sou_sou_soulb&t=0_0
总账会计（包中晚餐）-制造业,深圳市创新智慧港有限公司,深圳-宝安区,6-8千/月,五险一金 专业培训 提供中晚两餐 节日福利,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen-baq/133035889.html?s=sou_sou_soulb&t=0_0
税务会计,深圳市航世科技有限公司,深圳-宝安区,6-8千/月,包吃 包住宿 绩效奖金 全勤奖 餐饮补贴,民营公司,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/shenzhen-baq/133026408.html?s=sou_sou_soulb&t=0_0
会计（药企）,吉林省盛瑞药业有限公司,长春,3.5-6千/月,五险一金 节日福利 绩效奖金 包吃 专业培训 周日休息 法定休息 带薪年假,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/changchun/133020771.html?s=sou_sou_soulb&t=0_0
会计,深圳市凯迪文森时装有限公司,深圳,6-8千/月,带薪年假 节日福利 五险 加班补贴 专业培训 绩效奖金,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen/133018590.html?s=sou_sou_soulb&t=0_0
总账会计,国汇机械制造泰州有限公司,泰州,6-8千/月,五险 包吃 包住宿,民营公司,5.0,5.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/taizhou/133015794.html?s=sou_sou_soulb&t=0_0
财务会计专员,牧星（上海）国际贸易有限公司,上海-闵行区,6-9千/月,做五休二 周末双休 带薪年假 五险一金,民营公司,5.0,10.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shanghai-mhq/133001757.html?s=sou_sou_soulb&t=0_0
全盘会计,深圳维盟科技股份有限公司,深圳-龙华区,0.8-1万/月,五险一金 补充医疗保险 年终奖金 5天8小时 带薪年假,民营公司,6.0,6.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/shenzhen-lhq/132999697.html?s=sou_sou_soulb&t=0_0
会计主管,奥兰熊（北京）教育科技有限公司,乌鲁木齐-水磨沟区,6-8千/月,五险一金 绩效奖金 带薪年假,民营公司,5.0,6.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/urumqi-smgq/132992238.html?s=sou_sou_soulb&t=0_0
财务做账会计,上海嘉莹投资管理咨询有限公司,上海-嘉定区,6-8千/月,周末双休 专业培训 交通补贴 弹性工作,民营公司,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shanghai-jdq/132988712.html?s=sou_sou_soulb&t=0_0
会计,云南爱斯特医疗器械有限公司,昆明,4.5-6千/月,购买五险 节日福利 绩效奖金 专业培训 交通补贴 年终奖金,民营公司,4.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/kunming/132988535.html?s=sou_sou_soulb&t=0_0
成本会计,深圳市谦泽豪科技有限公司,深圳-坪山区,6-8千/月,五险 员工旅游 专业培训 绩效奖金 年终奖金 管吃住,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen-psq/132985518.html?s=sou_sou_soulb&t=0_0
往来会计,重庆策宇建设工程有限公司,重庆-渝北区,4.5-6千/月,弹性工作 五险 绩效奖金 年终奖金 通讯补贴,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/chongqing-ybq/132972525.html?s=sou_sou_soulb&t=0_0
会计（应付费用）,深圳市拉普拉斯能源技术有限公司,无锡,6-8千/月,绩效奖金 包住宿 包三餐 五险一金 员工旅游 年终奖金,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/wuxi/132971807.html?s=sou_sou_soulb&t=0_0
