岗位名称,公司名称,工作地点,薪资,工作福利,公司类型,招聘人数,工作经验,发布日期,公司规模,招聘详情
会计,兰州力天电子科技有限责任公司,兰州,3.5-6千/月,员工旅游 绩效奖金 年终奖金 做五休二 养老保险 五险一金 节日福利 带薪年假 周末双休,民营公司,5.0,5.0,2021-06-27 09:04:47,少于50人,https://jobs.51job.com/lanzhou/133018993.html?s=sou_sou_soulb&t=0_0
会计,广州东隆电子有限公司,广州-白云区,4-6千/月,全勤奖 工龄奖 年终奖金 员工旅游 五险一金,民营公司,5.0,4.0,2021-06-27 09:04:42,50-150人,https://jobs.51job.com/guangzhou-byq/126998006.html?s=sou_sou_soulb&t=0_0
会计,广州梓柏印刷有限公司,广州,5.8-7千/月,全勤奖 餐饮补贴 住房补贴 五险一金 专业培训 年终奖金 绩效奖金 年终车费补贴 全年全勤奖,民营公司,5.0,5.0,2021-06-27 09:04:39,50-150人,https://jobs.51job.com/guangzhou/132845038.html?s=sou_sou_soulb&t=0_0
会计,甘肃华源文化产业集团有限公司,兰州,1-1.5万/月,五险一金 周末双休 补充医疗保险 餐饮补贴 节日福利,民营公司,6.0,5.0,2021-06-27 09:04:34,50-150人,https://jobs.51job.com/lanzhou/109089102.html?s=sou_sou_soulb&t=0_0
应付会计,奥士康精密电路（惠州）有限公司,惠州,5.5-6.5千/月,五险一金 专业培训 绩效奖金 年终奖金 定期体检 子女教育津贴 全勤奖 工龄奖 春节车费补贴 包吃包住,上市公司,6.0,3.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/huizhou/133131359.html?s=sou_sou_soulb&t=0_0
会计,沈阳宁泰保温工程有限公司,沈阳-铁西区,3-4.5千/月,专业培训 弹性工作 绩效奖金 节日福利,民营公司,6.0,5.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shenyang-txq/133131239.html?s=sou_sou_soulb&t=0_0
材料会计,格力电器（南京）有限公司,南京-江宁区,5.5-6.5千/月,五险一金 免费班车 员工旅游 弹性工作 绩效奖金 定期体检 交通补贴 餐饮补贴 年终奖金,国企,6.0,3.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/nanjing-jnq/133131183.html?s=sou_sou_soulb&t=0_0
总帐会计,惠州市晋锋建筑材料有限公司,惠州,6.5-8.5千/月,补充医疗保险 员工旅游 年终奖金 定期体检 带薪年假 包三餐 包住宿 全勤奖 加班补贴 高温补贴,外资（非欧美）,4.0,3.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/huizhou/133130891.html?s=sou_sou_soulb&t=0_0
会计,东莞市海诚体育有限公司,东莞-常平镇,4-6千/月,全勤奖 节日福利 伙食补贴 住宿补贴 五险 8小时工作制 交通便利,民营公司,4.0,4.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/dongguan-cpz/133130862.html?s=sou_sou_soulb&t=0_0
出纳会计—六险一金,珠海安拓劳务有限公司,珠海-香洲区,4-6千/月,六险一金 带薪年假 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 春节假期长 节日礼品 节假日放假,民营公司,5.0,3.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/zhuhai-xzq/133130826.html?s=sou_sou_soulb&t=0_0
销售会计,上海比瑞吉宠物用品股份有限公司,上海-闵行区,7-9千/月,带薪年假 五险一金 绩效奖金 节日福利 专业培训 晋升空间,合资,6.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/shanghai-mhq/133130822.html?s=sou_sou_soulb&t=0_0
玉溪雷克萨斯会计,玉溪大昌行雷克萨斯汽车销售服务有限公司,玉溪,3-4.5千/月,年终奖金 节日福利 七险一金 免费午餐,外资（非欧美）,5.0,3.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/yuxi/133130766.html?s=sou_sou_soulb&t=0_0
