福利待遇,数量
办公环境优美,3
办公环境优越,1
办公环境好,4
办公环境舒适,1
办理社保,1
加班可调休,1
加班少,6
加班少可调休,1
加班工资,3
加班晚餐,1
加班晚餐补贴,1
加班津贴,2
加班福利,1
加班补休,1
加班补助,21
加班补贴,289
加班调休,3
加班费,8
加班餐,1
加班餐与车补,1
加班餐补,4
劳保,1
劳保福利,1
劳保费,1
劳动保护,1
包三餐,41
包三餐包住宿,1
包两餐,3
包中餐,5
包中餐、晚餐,1
包住,23
包住宿,172
包住提供吃,1
包午餐,10
包午餐晚餐,1
包吃,147
包吃住,8
包吃包住,50
包工作餐,3
包晚餐,2
包食宿,7
包餐,8
北京大学培训,1
北京高校,1
医疗器械,1
十三薪,12
十五天年假,1
十五薪,1
十四薪,1
十天年假,1
午茶点心,1
午餐,1
午餐晚餐,1
午餐补助,15
午餐补贴,2
半年固定涨薪,1
半年度奖金,1
半年度调薪,1
半年调薪机会,1
半月春节假期,1
单休制,1
单休排休,1
单位食堂,2
单双休,3
单双休轮休,1
单双周休,1
单身宿舍,2
单间住宿,1
原创团队,1
参与分红,1
参加福利积分,1
双休,35
双休+年假,1
双休-1,1
双休制,1
双周春节薪假,1
双薪~六薪,1
双通道发展,1
双通道晋升,1
发展前景,1
发展前景优,1
发展前景佳,1
发展前景大,1
发展平台,1
发展快,1
发展潜力大,1
发展空大,1
发展空间,5
发展空间open,1
发展空间大,32
发展空间巨大,1
发展迅速,1
取暖补贴,3
取暖费,2
取暖降温费,1
可买深圳社保,1
可买社保,1
可住宿,1
可口午餐,1
可在家办公,1
可提供住宿,1
可调休,1
司龄奖,1
司龄年假,1
司龄津贴,1
司龄礼物,1
司龄补贴,2
各种活动,1
各种节日福利,1
各类假期,1
各类奖金补贴,1
各类津贴,1
各类社团活动,1
各类补贴,1
各项补贴,1
合伙人分红,1
合伙人机会,1
合伙人计划,1
同事nice,2
同事好相处,1
同事颜值高,1
员工下午茶,3
员工住宿,1
员工体检,14
员工俱乐部,1
员工公寓,1
员工关怀,4
员工关系融洽,1
员工团建,2
员工团建旅游,1
员工培训,3
员工奖,1
员工家属福利,1
员工宿舍,30
员工折扣,2
员工持股,1
员工持股计划,3
员工旅游,3243
员工期权激励,1
员工每月聚餐,1
员工活动,15
员工活动经费,1
员工班车,2
员工生日,3
员工生日会,7
员工生日礼金,1
员工生日福利,1
员工福利,3
员工素质高,1
员工聚餐,3
员工节日礼物,1
员工食堂,10
员工饭堂,1
周休2天,1
周六日双休,1
周密双休,1
周年假期,1
周年福利,1
周未双休,2
周末双休,1912
"周末双休,",1
周末双休’,1
周末大小周,1
和国外合作,1
咖啡,1
咖啡吧,1
咖啡好茶,1
商业保险,59
商业医疗保险,5
商业意外保险,1
商业意外险,5
商业险,4
四大,1
团体医疗险,1
团体意外险,2
团体活动,1
团建,23
团建、茶歇,1
团建下午茶,2
团建基金,2
团建文娱活动,1
团建旅游,1
团建旅游活动,1
团建活动,38
团建福利,2
团建经费,3
团建聚餐,3
团队Nice,1
团队专业,1
团队团建,1
团队奖金,1
团队好,1
团队年轻,2
团队建设,6
团队建设基金,1
团队建设活动,1
团队技术强,1
团队旅游,1
团队有活力,1
团队氛围佳,1
团队氛围好,15
团队氛围融洽,1
团队活动,8
团队活动丰富,1
团队活动多,1
团队聚餐,19
团队融洽,1
园区宿舍食堂,1
园区社保,1
园区补贴,1
园区餐厅,1
固定13薪,1
国企,2
国企历史背景,1
国企平台,1
国内外团建,1
国内外旅游,3
国内旅游,1
国内游,1
国定假期,1
国定年假,1
国定节假日,1
国家假期,1
国家法定假日,2
国家社保,1
国家节假日休,1
国家重点行业,1
国家高新,1
国家鼓励行业,1
国际4A资源,1
国际化环境,1
国际化项目,1
国际团队,2
国际团队合作,1
圣诞假期,1
地处繁华商圈,1
地铁上盖,2
地铁口,4
地铁周边,5
地铁沿线,1
地铁附近,1
培训体系完善,1
培训学习,3
培训拓展,1
培训补贴,1
培训进修,1
基本工资,1
基本薪资,1
境内外游,1
境外旅游,1
壹到拾年终奖,1
夏日福利,1
外企,1
外企500强,1
外宿补助,1
外宿补贴,2
外训机会,1
多元化收入,1
多样下午茶,1
多样化津贴,1
多次调薪,3
多通道发展,1
多项目机会,1
夜班补贴,1
大V领导,1
大厂高工辅导,1
大咖多,1
大小休,3
大小周,16
大小周休,1
大小周休息,1
大小周制,1
大小周工作制,1
大平台,5
大牛共事,1
大牛同事,1
大牛带教,1
大牛带队,20
大牛技术团队,1
大牛领导,1
大牛领队,1
央企平台,1
央视展播品牌,1
奋斗者津贴,1
奖励假,1
奖金,2
女性关怀假,1
娱乐活动,2
娱乐设施,1
婚假,2
婚庆礼金,1
婚育礼金,2
婚育福利,2
子女保险,2
子女免费就读,1
子女医疗,2
子女医疗保险,1
子女福利,2
孝心红包,1
季度假,1
季度劳保,1
季度团建,4
季度奖金,14
季度旅游,2
季度评比奖金,1
季度调薪,1
季度部门活动,1
季度项目奖金,1
学习培训机会,2
学习基金,1
学习机会,1
学习氛围积极,1
学历提升奖励,1
学历津贴,1
安家补贴,1
安排住宿,1
安排食宿,1
定期下午茶,2
定期体检,3849
定期团建,63
定期团建活动,2
定期培训,1
定期技术分享,1
定期活动,1
定期聚餐,4
定期调薪,3
定期部门活动,1
实业资金,1
实习期全薪,2
实习津贴,1
实习证明,2
实物奖,1
宿舍,1
宿舍/公寓,1
宿舍空调,1
寒假,2
寒暑假,3
寒暑假假期,1
导师带教,2
导师指导,1
小吃零食,1
小蜜蜂奖,1
