个人 / 开福通泰街 / 网站编辑 / 学历不限 /,5001-8000元,
广州艾美网络科技有限公司 / 长沙 / 硬件工程师 / 大专 /,3001-5000元,双休，五险一金
湖南老铜匠建材有限公司 / 芙蓉 / 网络推广 / 学历不限 /,3001-5000元,房补，年底双薪，带薪年假
湖南魔之锐信息科技有限公司 / 长沙 / 游戏设计开发 / 学历不限 /,10001-12000元,年底双薪，带薪年假，双休
湖南魔之锐信息科技有限公司 / 长沙 / 软件工程师 / 学历不限 /,8001-10000元,年底双薪，带薪年假，双休
湖南魔之锐信息科技有限公司 / 长沙 / 产品经理专员 / 学历不限 /,12001-20000元,年底双薪，带薪年假，双休
湖南魔之锐信息科技有限公司 / 长沙 / 网络工程师 / 学历不限 /,8001-10000元,五险一金
科达图文 / 雨花 / 其他 / 学历不限 /,面议,包吃，包住
汇德职业培训学校 / 雨花韶山南路 / 网站编辑 / 学历不限 /,5001-8000元,话补，双休，包住
汇德职业培训学校 / 雨花韶山南路 / 网站运营 / 学历不限 /,5001-8000元,话补，双休，包住
汇德职业培训学校 / 雨花韶山南路 / 网络工程师 / 学历不限 /,5001-8000元,话补，双休，包住
汇德职业培训学校 / 雨花韶山南路 / 网站编辑 / 学历不限 /,3001-5000元,话补，双休，包住
汇德职业培训学校 / 雨花韶山南路 / 网络推广 / 学历不限 /,5001-8000元,话补，包住，交通补助
长沙新东方 / 星沙经济开发区 / 网络推广 / 大专 /,3001-5000元,年底双薪，带薪年假，双休
个人 / 芙蓉五一广场 / 网络推广 / 学历不限 /,面议,话补，房补，年底双薪
长沙市芙蓉区立腾移动业务代办服务部 / 长沙 / 其他 / 学历不限 /,3001-5000元,包吃，包住
新青年聚吧 / 望城 / seo优化 / 学历不限 /,面议,话补，年底双薪，带薪年假
域易科技 / 岳麓含浦 / 网络工程师 / 学历不限 /,5001-8000元,
西安立肯 / 长沙 / 质量工程师 / 学历不限 /,12001-20000元,带薪年假，员工体检，双休
西安立肯 / 长沙 / 网络推广 / 学历不限 /,10001-12000元,带薪年假，员工体检，双休
西安立肯 / 长沙 / 程序员 / 学历不限 /,12001-20000元,带薪年假，员工体检，双休
西安立肯 / 长沙 / 网站运营 / 学历不限 /,面议,带薪年假，员工体检，双休
