company_industry,company_introduction,company_name,company_size,company_type,level,number_recruiters,position,salary,update_time,work_location
计算机/网络/通信,公司现有成员15人左右，大部分来自知名软件公司Esri中国、亚信、华为等，其中资深架构师1名，高级GIS人员2名，高级Java开发人员5名，前端开发人员3名，移动端2名，大屏可视化团队5人，团队主营业务软件开发、软件集成，数字信息化、Saas化项目、项目外包等业务。团队的架构技术栈主要以分布式、高并发、微服务、GIS、大屏可视化等技术栈为主，有着丰富的开发经验。,北京云通非凡科技有限公司,20-99人,http://www.cloudyun.cn,,,,,,
保健按摩,葆婴有限公司，为孕妇、0-6岁孩子及年轻父母提供母婴在各个阶段有关营养和婴幼儿智力开发的营养食品、玩具、针对孩子的技能训练、父母课堂及客户代表面对面的服务。葆婴从健康、智力、情感三方面，根据孕期3个阶段、0-6岁儿童的6个阶段的7种生理需求，8种智力情感发展需求，提供10余种葆苾康营养保健食品，123节专业育儿课程，3类测评；帮助父母培养健壮、聪明的孩子，挖掘孩子最大的潜能，让孩子成为父母的骄傲...,全椒县楚馨缘服饰电子商行,1000-9999人,外商独资,,,,,,
,,,,,,,,,,
教育/培训,弗雷教育成立于2018年与首都师范大学附属实验学校共同成长，位于学校的西南侧500米，拥有独立教学场地400平方米，具备现代化的教学设施，师资力量雄厚！,北京弗雷教育科技有限公司,20-99人,其他,大专,10,,面议 ,2020-11-30,房山
超市/百货/零售,TheGreenParty隶属于杭州凯蓝品牌管理公司旗下一个崇尚绿色自然生活的家居品牌，创立于2014年，截止目前门店数量已达近200家，，主营品质家居生活用品、乐趣厨房用品、阳台花园配饰、卫浴香薰用品、乐趣办公文具、首饰发饰穿戴用品等，品牌以舒适愉悦、绿色纯净、自然生活为理念，TGP的所有产品都以自然、健康、环保为宗旨，在为您打造一个全新一站式家居生活购物馆的同时，传递出一种全新的自然生活方...,北京谷然之家商贸有限公司,1000-9999人,民营,不限,3,,3000-5000元 ,2020-12-10,朝阳
酒店/餐饮,北京粤云湘餐饮管理有限公司本店主营粤云湘菜系，餐厅装修高雅时尚，环境设备一流，服务水平一流，出品质量一流的理想餐厅。位置位于北京市东城区陶然大厦2层,北京粤云湘餐饮管理有限公司,20-99人,其他,不限,10,高端中餐厅招聘服务员,5000-8000元 ,2020-11-29,东城
其它行业,主营停车场管理、汽车美容服务、停车收费系统软件研发、物业管理等服务。,北京宝成行汽车技术服务有限公司,20-99人,民营,不限,1,洗车工月薪5000+提成,5000-8000元 ,2020-11-27,朝阳
计算机/网络/通信,公司介绍：辉塔信息技术咨询（上海）有限公司，2010年在上海设立总部，北京下设子公司。以下简称“faceui”。faceui是一家最早专注于移动互联网领域的产品设计咨询公司，是国内最早专注于用户体验设计的公司之一。公司致力于以完善的用户研究体系、差异化的体验设计与深层次商业战略决策分析，为产品提供具有优秀用户体验的设计咨询。针对不同行业的特性为客户定制可持续增长的强势产品解决方案。通...,辉塔信息技术咨询（上海）有限公司,20-99人,民营,不限,2,,5000-8000元 ,2020-12-10,浦东
酒店/餐饮,"淮南牛肉汤，良心品质，无添加，美味持久,有牛肉汤，牛肉面，烧饼，小食等",北京首鲜选生鲜超市有限公司海淀分公司,20人以下,民营,,,,,,
医药/生物工程,北京长明博亚科技发展有限公司成立于2003年，是北京市卫生局批准设立专业从事第三方检验的医学检验所。医学检验所位于北京市旧宫镇，建筑面积达4500平方米，配备了先进的医学检验设备，汇集了国内外大批技术与管理人才，设有病理实验室、分子病理学实验室、PCR实验室、遗传细胞学实验室、生化免疫实验室等多个专业实验室，目前能够开展300项以上医疗诊断检测项目。“人性化服务，信息化管理，利益共享”——...,北京长明博亚科技发展有限公司,1000-9999人,民营,大专,1,,3000-5000元 ,2020-12-10,萧山
金融/银行/投资/基金/证券,中和创富(北京）服务外包有限公司...............................,中和创富（北京）金融服务外包有限公司,20-99人,民营,,,,,,
金融/银行/投资/基金/证券,"京铭金融，总部设立于北京,成立于2012年，注册资金3000万，拥有丰富的社会资源，雄厚的经济实力，5年行业优质服务，专业团队倾力奉献，致力于将京铭品牌立足北京，辐射全国，上海、深圳、广州等地区分公司正在筹备建设中，为全国客户提供更方便快捷的金融服务。京铭作为多年的贷款咨询服务公司，合作十几家银行，客户直接从银行或者与京铭有合作的小贷公司贷款。当天申请，当天放款，安全高效有保证，不接受有不...",北京京铭投资咨询有限公司,20人以下,民营,不限,5,电话销售,8000-12000元 ,2020-12-02,海淀
建筑/装修,家居装饰，专业承包，商场工装及各类装修。公司整体氛围积极向上。,北京三源鼎盛建筑工程有限公司,20人以下,民营,不限,3,,5000-8000元 ,2020-11-30,迎江
贸易/交通/运输/物流,知名快递公司，邯郸市韵达快递金都公司,邯郸市韵达速递有限公司丛台区金都分公司,20-99人,民营,不限,1,招聘快递员,面议 ,2020-11-29,丛台区
生产/制造,公司位于北京市通州区马驹桥镇联东U谷中区12号楼，有意者可电话联系,爱瑞宝（北京）生物科技有限公司,20-99人,民营,不限,1,兼职司机,500元/天 ,2020-12-03,北京
金融/银行/投资/基金/证券,遇贵人先择业，遇良人先安家，选择大于努力，比穷更可怕的事安于现状,北京中京亿商务咨询有限公司,20-99人,股份制企业,不限,10,电话销售,面议 ,2020-11-30,朝阳
计算机/网络/通信,北京光电互联通讯科技有限公司是应快速发展的通信产业需要而成立的高科技应用型企业，公司致力于以光纤通信为核心业务的产品开发、制造、新产品经销和工程服务。目前企业以通讯光缆、光通信设备和光纤活动连接器、光器件为主要销售产品。产品广泛应用与电信通讯网、军队通讯网、企业网、校园网等。我们凭借在售前咨询，系统设计，产品销售，工程施工等方面的综合优势和我们多方面的工程服务经验，根据客户的要求，提供切实...,北京光电互联通讯科技有限公司,20人以下,http://www.fibranet.com.cn,本科,1,,5000-8000元 ,2020-12-01,朝阳
酒店/餐饮,咖啡厅采用了欧洲风格主题设计，在宽阔而温馨的空间里，木质的桌椅合理摆放和绿色植物树木的创意布置让您感到身处大自然之中。环绕着墙壁的书架上有不同种类的书籍，让您在享受美味咖啡的同时可以饱览各种书籍从而增添各方面的知识。工作环境惬意，舒适,河北华地众安信息技术有限公司,20人以下,民营,,,,,,
金融/银行/投资/基金/证券,宜信公司创建于2006年，是一家集财富管理、信用风险评估与管理、信用数据整合服务于一体的综合性现代服务业企业。,扎兰屯市康艺保健服务馆,10000人以上,国企,,,,,,
家政,唐顿世家是北京唐顿世家科技有限公司旗下的高端家政服务品牌，致力于通过专业化的人员培训和组织管理，为高端人群提供尊贵安心的家政服务，打造高贵典雅的生活品质。公司自成立以来，一直秉承崭新的英式管家服务理念，立足于专业、尊贵、品质和安心的公司理念，为北京昌平、顺义的诸多别墅区高端用户提供一站式居家生活服务（月嫂、育儿嫂、保姆、小时工、保洁）。公司管理团队年轻而有活力。创始人为清华大学硕士，联合北京大学...,北京唐顿世家科技有限公司,20-99人,http://tangdunshijia.com,,,,,,
金融/银行/投资/基金/证券,证券经纪、融资融券、证券投资基金代销、代销金融产品、网上交易、证券投资咨询、证券承销与保荐、证券自营、中小企业私募债券承销业务、为期货公司提供中间介绍业务、银行间市场利率互换、约定购回式证券交易资格、与证券交易、证券投资活动有关的财务顾问、权证交易,新时代证券股份有限公司北京天通苑证券营业部,20人以下,http://www.xsdzq.cn,初中,1,,3000-5000元 ,2020-12-08,东城
酒店/餐饮,观唐汇隶属于观唐地产集团旗下的一家子公司，座落于朝阳区观唐东路，会所建筑面积约8000平方米，地上和地下各为两层，其中共有15间宽敞客房和套房，大堂酒廊、多功能无柱式宴会厅、健身中心、共享办公区、儿童活动区域等配套设施。观唐汇是藏于观唐别墅区绿荫深处的现代化建筑，配备顶级国际化高端服务设施，打造私享全球专属顶级生活方式。我们致力于为来自别墅区业主及宾客提供轻松舒适的居停、婚宴及运动健身体验...,北京盛唐世纪投资管理有限公司,20-99人,http://www.guantangjituan.com/...,大专,2,,12000-20000元 ,2020-12-03,朝阳
其它行业,个体经营，从事窗帘零售，日用品，汽车装饰，汽车清洗，汽车维修等服务。,北京定福庄梦娜窗帘店,20人以下,其他,不限,1,洗车工汽车美容,3000-5000元 ,2020-12-08,大兴
快速消费品(食品/饮料/烟酒/化妆品),经营范围：技术推广、技术服务；公共关系服务；市场调查；企业策划；会议服务；酒店管理；物业服务；组织文化艺术交流活动（不含营业性演出）；承办展览展示活动；影视策划；摄影扩印服务；销售日用品、文化用品、体育用品、针纺织品、化妆品、计算机、软件及辅助设备、家用电器、工艺品、珠宝首饰、黄金制品、微型电子办公设备、电子产品；销售食品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关...,北京雅士蓝天科技有限公司,20-99人,民营,不限,8,招聘人力资源部门实习生,150元/天 ,2020-12-05,海淀
教育/培训,合伙人来自英国创造真实互动社交环境，让孩子实用英语使用英语，去深入学习一项运动或技能。公司成立4年，进入稳健发展阶段，师资、服务、环境、口碑都不错的，独独在销售方面成为短板，所以期待有能力，有闯劲，有规矩的小伙伴加入和谐欢乐的工作氛围，舒适安静的工作环境，会是让你收获颇丰的选择,北京咿呀学语教育科技有限公司,20-99人,合资,大专,3,,8000-12000元 ,2020-10-21,朝阳
酒店/餐饮,公司位于北京市丰台区水魔方附近提车可在篱房山、丰台、石景山等多地,北京吉顺建筑工程有限公司,20人以下,民营,不限,10,,5000-8000元 ,2020-12-04,丰台
教育/培训,"全国连锁，河北省首家少儿篮球。
目前会员200人。",长安唯玩星球室内健身服务工作室,20-99人,民营,不限,1,前台/总机,面议 ,2020-10-22,塔城市
其它行业,北京鹏跃供暖有限责任公司成立于2000年，公司位于北京市怀柔区于家园一区58号楼北侧，公司主要提供周围生活区的供热服务，供热面积约26万平方米。公司现有员工20余人，现有锅炉房3处。,北京鹏跃供暖有限责任公司,20人以下,民营,,,,,,
金融/银行/投资/基金/证券,浦思金融网络科技有限公司（以下简称浦思金融）由国内著名天使投资人——何伯权先生及创业团队共同投资创立，隶属于浦思金融服务集团，专业从事金融外包服务，公司主营：商户培训和服务、终端机具租赁和维护、系统开发和应用。2014年5月12日经工商局批准成立，根据机构管理需要，实施集团公司双总部运营模式，在古城西安和魔都上海分设总部。公司自成立以来，始终坚持“浦及天下，善思善行”的企业宗旨，以“坚守理想永葆...,北京浦思网络科技有限公司,500-999人,http://www.pu-si.cn/,,,,,,
广告/会展,北京大洋国际会展服务有限责任公司是具有独立法人的专业会议接待单位，公司拥有一批专业素质强、尽职尽业、信守工作理念的队伍。本公司以会议考察、会议策划、会议预算、会议用车、会议设备租赁、会议场所各类会议会展等商务活动为主，提供全方位一条龙服务的专业化会议会展公司。作为专业的会议服务机构，公司自成立伊始，便依据对会议服务行业的深刻理解和丰富的项目服务经验，向市场提供全面的方案及执行服务。,北京大洋国际会展服务有限责任公司,20人以下,http://www.bjics.cn,不限,2,文员/项目助理,3000-5000元 ,2020-11-04,海淀
其它行业,白犀牛2019年4月成立，是一家无人驾驶公司，专注于研发全栈式无人配送解决方案和无人车常态化运营，为客户提供稳定、安全的城市区域配送服务。作为无人配送领域的创新者，白犀牛坚持从客户需求和应用场景出发，坚持“运营”和“技术”齐头并进，共同牵引研发，更快地撬动无人配送商业化应用，目前已和叮当快药、永辉超市等达成合作，2020年9月上海子公司成立。两位创始人均是百度自动驾驶事业部的初创成...,白犀牛智达（北京）科技有限公司,20-99人,http://www.white-rhino.auto/,不限,8,,5000-8000元 ,2020-12-11,嘉定
快速消费品(食品/饮料/烟酒/化妆品),中萃（天津）食品有限公司是一家专业的食品营销企业，总公司地址位于天津市武清区大良镇隆良道6号，北京事业部地址位于北京市丰台区宋家庄路71号院扑满山2号楼1101室。公司创立至今，已发展成为食品销售行业的佼佼者。我们有良好的资产能力，广泛的销售网络，强大的销售团队，超越的发展目标，炙热的创业热情，我们每一步都力争完美，朝我们目标“成为现代食品营销行业中最优秀的领导企业”奋进。,中萃（天津）食品有限公司,20-99人,民营,中专/技校,2,电商运营助理,面议 ,2020-11-16,丰台
计算机/网络/通信,便车，将不断致力于让人们更便利、自由地完成城市内中短途出行，提升城市交通效率，并减少交通拥堵和环境污染。便车app，让出行更美好，让我们生活的城市更美好。便车，来去真正的随兴自由。在这里，可以尽情体验任何你想开的车并分享你的感悟，结识跟你有共同爱车兴趣的朋友。在这里车主可以利用闲置爱车赚取可观收益，并将爱车展示和分享给渴望体验不同精彩车型的用户。,北京兴起网络科技有限公司,100-499人,民营,高中,5,兼职话务员,230元/天 ,2020-10-23,北京
,,,,,,,,,,
其它行业,"我们公司对待员工待遇非常好,工作轻松自由，不会出现任何危险，非常适合年轻的女孩来体验工作",内蒙古昊佳娱乐服务有限公司,20-99人,民营,,,,,,
教育/培训,公司多年从事教育行业，已经有多家幼儿园，教职工上百名。人性化管理体系及现代话教育管理制度，积极发展素质教育，提倡快乐成长理念。,北京天使之星教育科技有限公司,20-99人,民营,不限,5,,3000-5000元 ,2020-10-23,房山
计算机/网络/通信,北京金源泰成科技有限公司成立于2016年，办公地址位于北京市房山区窦店镇，是一家专业从事应用综合布线、弱电智能化、安防监控、智能广播、数字化多媒体教学、楼宇对讲、系统集成等相关信息化领域，凭借多年在应用系统集成以及智能化服务积累的经验，金源泰成已经成为该领域内著名的应用安防监控、系统解决方案提供商。,北京金源泰成科技有限公司,20人以下,其他,高中,2,招聘售后服务人员,面议 ,2020-10-24,房山
物业管理/商业中心,北京丰润物业管理中心成立于1998年，坐落于丰台区长辛店，是区属全民所有制企业，企业经营范围是：物业管理服务；劳务服务；房地产信息咨询服务；机动车停车场服务；热力供应；出租商业用房。,北京丰润物业管理中心,20-99人,国企,,,,,,
贸易/交通/运输/物流,本公司直招装卸工，货运司机，包吃住，不收任何费用，主要运输百事可乐，北京五环外运输,北京鼎泰盛达货运有限公司,20-99人,民营,不限,15,招聘货运司机C本B本都要,8000-12000元 ,2020-10-24,大兴
教育/培训,技术开发、技术推广、技术服务；教育咨询（中介服务除外）；设计、制作、代理、发布广告；会议服务；企业策划；承办展览展示活动；销售自行开发的产品；组织文化艺术交流活动（不含营业性演出）；出租办公用房；出租商业用房。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）。,北京读研教育科技集团有限公司,100-499人,民营,,,,,,
贸易/交通/运输/物流,北京京朝通达汽车租赁有限公司主要做汽车租赁;网络预约出租车;为机动车驾驶员提供驾驶技术咨询服务;车务代理服务;汽车清洁服务。公司聘请专业管理人员，有其丰富的管理运营经验，熟悉各种网约车平台，软件使用及问题处理。让你在租车使用的过程中，拥有强大的后盾。北京京朝通达汽车租赁有限公司全体员工欢迎您的加入。所属行业：汽车租赁服务（网约车）,北京京朝通达汽车租赁有限公司,100-499人,股份制企业,不限,100,,12000-20000元 ,2020-10-24,朝阳
耐用消费品(服装服饰/纺织/皮革/家具/家电),思侬品牌是趣家网旗下自有品牌，目前有思侬四件套、思侬三件套、思侬靠垫、思侬抱枕、思侬枕头、思侬羽绒被、思侬羽绒披肩等20多个系列近千种产品。思侬家纺在京东、天猫、当当、趣家网等知名电商平台有售，并实现在北京、上海、广州三地同时发货，即将实现在成都、武汉的同步发货。,北京东方众联企业管理咨询有限公司,20-99人,民营,不限,20,包吃包住 招聘库房理货员,5000-8000元 ,2020-11-21,顺义
贸易/交通/运输/物流,本公司主要经营，金杯品牌，福田品牌，中华品牌，名爵品牌，东风日产全系车型，东风本田，江铃福特。江铃汽车，华晨金杯，鑫源金杯，奇瑞全系车型。,永清县中车行汽车销售有限公司,20-99人,http://www.qiche4s.cn/10003730...,不限,2,底薪加汽车销售,5000-8000元 ,2020-10-30,廊坊
教育/培训,北京象曰科技有限公司，隶属于北京礼丹科技集团。集团是一家以传播和弘扬中华经典文化为主体，在国学育儿领域独具品牌特色的创新型企业，集团业务涵盖线上教育、文化交流、知识付费、大健康、理财与创业指导等。根据业务开展，集团分别在北京、上海、深圳、西安、保定、曲阜、长沙等地建立了分机构，指导与孵化的创业公司遍及全国31个省市自治区。北京象曰科技是基于移动互联网的学习型公司，是倡导“中国家庭国学”的先行者...,北京象曰科技有限公司,20-99人,民营,大专,2,,2000-3000元 ,2020-10-26,平谷
酒店/餐饮,北京舒曼迪商务会所-打造炫目北京夜；北京舒曼迪是京城规模最大的国际顶级，是北京最高档装修最好最正规生意最火爆的高档总面积10000余平米，包房设计独特，拥有豪华VIP包厢45间，可满足商务招待、公司聚会（自娱自乐型）、生日Party等多种需求。品质高、环境好、价位合理、专业的服务为您提供一处社交、休闲的繁华殿堂。它代表了新文化阶级、新品位的提升，从细节开始提供极致飨宴，永远充满惊喜，置身名流豪门中...,菏泽意安文化传媒有限公司,20-99人,民营,不限,30,招聘娱乐厅服务员,1000元/天 ,2020-12-11,北京
,,,,,,,,,,
其它行业,"北京普智昊然科技有限公司成立于2001年,一直致力于将较尖端的产品和一流的服务提供给用户。目前已形成完整的技、工、贸一体化服务体系,公司制定了相应的渠道建设策略和服务支持体系,运作资本达到500万元以上,公司备有足够流动资金供企业周转。代理协调以及技术支持、售后服务工作,积累了丰富的业务经验",北京普智昊然科技有限公司,20人以下,其他,,,,,,
酒店/餐饮,本店只做各大平台外卖,迁西县太平寨镇爱琴海蛋糕店,20-99人,民营,不限,1,招聘面点师,面议 ,2020-10-26,唐山
教育/培训,主要从事专业讲师的发现、培养、策划、推广、管理与经营的经纪公司；专职为政府、企业、商学院、提供定制化的品牌课程、行业专家学者一对一辅导、专业的师资匹配,北京至善厚德师文化有限公司,20人以下,http://www.zsshizi.com/,,,,,,
贸易/交通/运输/物流,北京方远智胜物流有限公司位于北京顺义，主要负责北京现代三工厂轮胎运输业务。,北京方远智胜物流有限公司,20人以下,民营,不限,5,货车司机全职或兼职都可以,180元/天 ,2020-10-26,顺义
计算机/网络/通信,河图创意是中国领先的图片电子商务企业。自2005年成立以来，一直致力于“引领中国视觉消费潮流”，是中国商用图片市场的核心供应商。河图创意旗下图片电子商务平台——【河图创意图片库】作为中国题材丰富的原创图片库，深受顶尖4A广告公司和品牌企业们的青睐。,北京河图创意图片有限公司,20-99人,http://www.eastphoto.cn/,不限,20,,4000元/月 ,2020-10-27,北京
媒体/影视/文化,泽恩达数字科技（北京）有限公司，成立于2018年，是一家专为建筑施工企业，提供企业资质代办、升级，以及人员维护的专业服务机构。,泽恩达数字科技（北京）有限公司,20人以下,民营,不限,10,业务专员/销售,面议 ,2020-11-25,石景山
贸易/交通/运输/物流,汽车配件运输.长短途运输.昌平区南口镇到顺义区普通货物运输。,北京吉运瑞达货运有限公司,20-99人,民营,不限,8,,5000-8000元 ,2020-10-12,昌平
检验/检测/认证,北京市京阳伟业安全技术有限责任公司的前身是北京市京军消防技术有限责任公司，成立于1998年。京阳伟业是立足于消防、安防领域的专业化销售、服务公司，是经市消防局、工商行政管理局核准备案的消防器材销售、维修检测于一体的股份制企业。京阳伟业拥有高素质的专业人才，具备先进的专业技术；优质的产品质量，完善的售后服务。具有极高的行业信誉。公司主要业务：消防、安防专业咨询与培训；消防、安防工程设计与施工；消防...,北京市京阳伟业安全技术有限责任公司,20人以下,http://www.jy119.net/,,,,,,
广告/会展,"北京市密云县城区
汽车代驾服务，全年招聘兼职司机，业余的时间让您实现财务自由！",北京保驾护航科技有限公司,20人以下,民营,不限,20,,200元/天 ,2020-10-13,北京
咨询/管理产业/法律/财会,总部设在北京市朝阳区通用国际中心A座1703，北京市企业许可审批，公司注册、民非单位、基金会、科技企业孵化、财税筹划、等企业服务机构领先品牌之一。专业化服务团队由拥有多年从业经验的注册会计师。提供企业的设立、许可审批、税务筹划、集团登记、等高端商务。多年的企业服务积累了丰富的经验与社会资源，并一直遵循严谨、积极与卓越的服务准则，致力于为企业服务行业与市场的发展作出重大贡献。,北京新曙光管理咨询有限公司,20-99人,http://www.xsgzixun.com,不限,5,,面议 ,2020-10-13,朝阳
酒店/餐饮,时薪劳务有限公司，招小时工，不收费，时薪劳务有限公司，招小时工，不收费，时薪劳务有限公司，招小时工，不收费，时薪劳务有限公司，招小时工，不收费，时薪劳务有限公司，招小时工，不收费，,如皋市思异转化网络信息咨询服务部,20人以下,民营,,,,,,
其它行业,本公司设有独立的洗衣厂、洗衣房等，从事酒店、饭店等洗涤清洗服务。,北京启航爱众科技有限公司,20人以下,民营,不限,5,洗衣厂招聘司机和跟车员,5000-8000元 ,2020-10-19,房山
酒店/餐饮,"本公司经营成都老品牌串串香菜品丰富价格公道,安全卫生纯牛油锅底",北京汇馨餐饮服务有限公司,20人以下,民营,,,,,,
计算机/网络/通信,"中关村项目经理学院是中关村项目产业园项目人才培训机构。2018年1月10日正式组建成立，是产业化、职业化、专业化的应用教育机构，由广大项目工作专业人士、研究人员、教育工作者和各相关机构组成,是一个研究型、创新型、开放型、普及型和国际型的专业性教研,教育和科普组织，专门为国内各类、各级、各行业的项目经理人才服务。中关村项目产业园向各会员和社会各界提供有关项目管理和项目管理技术的咨询服...",中项科技集团有限公司,20-99人,民营,,,,,,
咨询/管理产业/法律/财会,"公司自成立以来主要做工程业务，和工程咨询业务,企业咨询和企业规划",北京尚世纪工程管理有限公司,20-99人,民营,大专,5,预算专员  会计专员,面议 ,2020-10-15,大兴
,,,,,,,,,,
中介服务,远航集团始于1999年，经过近20年的高效发展，现已成为一家多元化、现代化的集团企业。远航集团现下属6家分公司，分别为远航人力资源（天津、厦门）、远航智谷、远航置业及远航物流。远航集团是适应*化时代新生产力的发展，适应中国服务产业结构的提升和新型经济增长方式的需求。以人力资源服务为主，以投资服务、信息服务、物流服务为辅多元领域发展的全新创业组织。,北京远航京畅人力资源有限公司天津分公司,1000-9999人,http://www.yuanhang-hr.com,中专/技校,2,急招驻场人事专员+五险,3000-5000元 ,2020-11-02,滨海新区
中介服务,鸿锦源公司秉承诚信执着专业高效的宗旨，主要为房地产企业提供项目前期市场调研，全程策划，项目销售代理，销售人员培训，整合营销顾问，企业管理培训，企业形象策划，平面设计等服务公司全体员工通过数年的辛勤拼搏和努力探索，结合国内外先进的营销策划和本土的实际情况，并凭借非凡的人才资源和创新精神，探索开创了全新的实效营销策划，以其卓越有效的营销理念，销售策略和管理模式，独树于强手如林的房地产市场...,北京鸿锦源房地产经经纪有限公司,100-499人,http://wwwbjhongjinyuan.com,中专/技校,2,,8000-12000元 ,2020-10-28,门头沟
其它行业,北京市丰台区颐养康复养老照护中心，是一家医养结合养老院，主要收治全部失能，及半自理老人。在社会上享有一定的良好口碑，欢迎热爱养老事业，想从事照护老人的同仁加入我们的行列！。,北京市丰台区颐养康复养老照护中心,20-99人,民营,不限,8,,5000-8000元 ,2020-10-16,丰台
其它行业,"北京福奈特洗衣服务有限公司成立于一九九七年七月。福奈特是国内洗衣业较早以特许加盟形式运作连锁体系的品牌，福奈特公司是中国连锁经营协会特许经营备案企业，也是（欧洲）国际织物护理委员会的会员。在这个由各国织物护理协会和织物护理研究中心组成的团体中，福奈特是较早的企业成员。通过与国外同行的密切交流与合作,以及多年来不断的完善和创新,福奈特一直保持着旺盛的生命力。虽然我们已经有11年的历史，有了近600...",北京市洁净搜豪洗衣店,20人以下,民营,不限,1,,面议 ,2020-10-19,朝阳
其它行业,公司位于大兴区，公交地铁交通便利，工作氛围轻松无压力，无经验要求。,白巷子（北京）餐饮管理有限公司,100-499人,民营,不限,10,文员后勤,3000-5000元 ,2020-10-16,大兴
咨询/管理产业/法律/财会,北京鹏诺知识产权代理有限公司是一家专业从事国内外商标注册、中国驰名商标认定、专利申请、著作权登记、双软认定及其他与之相关业务的法律服务机构。自成立以来，公司一直致力于为全球企业及公众提供全面的信息、技术与知识产权支持，并以打造当今中国最专业的知识产权服务机构为目标；在平时的工作中，我们积极倡导“不耻下问、循循善诱、灵活主动，谦虚谨慎”的工作方式，营造良好的工作和学习氛围，让员工体验享受式的学习，帮...,北京鹏诺知识产权代理有限公司,20人以下,民营,不限,2,,面议 ,2020-10-16,大兴
美容美发,本机构专业从事美容行业，有优秀美丽的老板，氛围融洽，诚邀志投道合的伙伴加入。,北京素研美容有限公司,20-99人,民营,不限,3,招聘 美甲 美睫美容师,5000-8000元 ,2020-10-16,顺义
金融/银行/投资/基金/证券,公司主要从事金融方面，随着公司的不断壮大，公司目前招聘的职位有很多，客服，销售，公司会提供给员工整洁的办公环境，给予高薪资高提成，高资源，还会不定期聚餐，生日福利等，期待大家的加入,北京羿弘咨询服务有限公司,20-99人,民营,高中,20,销售专员,12000-20000元 ,2020-10-19,朝阳
媒体/影视/文化,北京数易文化国学院是专业从事易学研究、易学培训的专业机构。《易经》也称《周易》或《易》，是中国传统思想文化中自然哲学与伦理实践的根源，对中国文化产生了巨大的影响。,北京数易通智国际文化传媒有限公司,100-499人,民营,,,,,,
其它行业,北京中兵卫保安服务有限公司创建于2018年，是一家集人防、技防、消防等多种安全服务类型为一体的全牌照安保公司。公司核心人员由多位警界、安防与高端涉外服务领域的资深专业人士共同创立，旨在利用先进的安全服务理念，以期保障客户的各项商业行为顺利、圆满地开展。公司业务服务范围覆盖全国及海外，业务类型涵盖：场地护卫、大型活动安保、VIP贴身护卫服务、风险评估、现金和贵重物品押送、移动财产看护、联网报警、安...,北京中兵卫保安服务有限公司,20-99人,民营,,,,,,
媒体/影视/文化,公司成立于2020年，主营业务泛娱乐，包含电影版权销售，茶室K歌，私人影院，游戏，足疗项目等。,北京明玺科技有限公司,20人以下,民营,,,,,,
,,,,,,,,,,
快速消费品(食品/饮料/烟酒/化妆品),威海林源正大食品有限公司。,威海林源正大食品有限公司,20-99人,民营,,,,,,
咨询/管理产业/法律/财会,免费咨询——专业律师时时在线免费解答各种知识产权法律问题！业务范围如下：1、国际商标注册一手渠道（马德里、单一国家查询、注册）；2、代报商标新申请、转让、续展、变更、复审、异议、无效、撤三等案件；3、国内商标案件正文撰写（商标驳回复审、撤三答辩、异议申请或答辩、无效宣告申请或答辩等案件撰写）；4、版权登记，软件著作权申请，下证时间1-35工作日可选；5、查领商标、版权、...,北京简明国际知识产权代理有限公司,20人以下,民营,,,,,,
其它行业,地址；北京顺义后沙峪古城村东大街10号院一家专门销售全球购童装的店铺，欢迎你的加入,北京唯家美衣服饰店,20-99人,民营,,,,,,
贸易/交通/运输/物流,北京同城物流配送，主要是海淀区，公司管理宽松，期待您的加入。,河北岳晟供应链管理有限公司,20人以下,民营,不限,5,货运司机,8000-12000元 ,2020-10-20,海淀
医疗设备/器械,"北京华安中医院，位于北京市海淀区西四环，四季青桥北。地址：北京市海淀区西四环北路63号，邮编：100091。是以医疗、科研、教学为一体的综合性医疗机构,拥有大批专家教授、硕士、博士导师和德、美、日进口仪器,医院有强大的综合诊疗实力，设有内科、外科、妇产科、骨伤科、中医科、皮肤科、美容科、针灸科、推拿科、肿瘤科、肛肠科、医学影像科、医学检验科及多种辅助治疗科室。",北京华安中医医院,20-99人,http://www.huaan120.com,,,,,,
石油/石化/化工,北京泊溪科技有限责任公司是位于北京的一家高科技公司，致力于石油钻完井固井工具的研制、生产、销售和技术服务。公司有多名国内知名的完井固井工具方面专家，已开发研制了多项具有自主知识产权的完井固井工具，都具有国家专利，得到了广泛应用，产品成功率高于国内外同类产品，在国内完井固井工具方面处于领先地位。,北京泊溪科技有限责任公司,20人以下,民营,大专,1,机械工程师,面议 ,2020-10-20,西城
生产/制造,东展科博（北京）技术有限公司成立于2011年，位于北京石景山区，主要为客户提供滤波、电磁兼容、信息智能、电子测试等系列产品，为客户提供产品的同时，深切关注客户需求，不断丰富产品种类，从产品到系统解决方案，积累了丰富的行业经验，训练出一批成熟稳定的研发团队和技术团队，形成了完善的销售服务体系，以优质的产品、严格的管理、良好的信誉赢得用户点赞。产品系列滤波系列：自有核心技术的滤波...,东展科博（北京）技术有限公司,20-99人,http://www.dzkbtech.com,,,,,,
